Faculty/Staff Name,Category,Citation,Students,Journal Name,Publisher Name,Color Code,No Journals Found?,Multiple Journals Found?,PDFarchiving,PDFrestrictions,Postarchiving,Postrestrictions,Prearchiving,Prerestrictions
"Singer, Susan and Cathy Manduca",Article,"Banta, L. M., E. J. Crespi, R. H. Nehm, J. A. Schwarz,  S. Singer, C. Manduca, et al. (2012) 'Integrating genomics research throughout the undergraduate curriculum: a collection of inquiry-based genomics lab modules.' CBE - Life Sciences Education 11 (2012): 203-208",,CBE - Life Science Education ,,,X,,,,,,,
"Singer, Susan, Cathy Manduca, Sean Fox, and Ellen Iverson",Article,"Singer, S. R., J. A. Schwarz, C. A. Manduca, S. P. Fox, E. R Iverson, B. J. Taylor, S. B. Cannon, G. D. May, S. L. Maki, A .D. Farmer, and J. J. Doyle. 'Keeping an eye on biology.'  Science 339 (2013): 408-409.",,Science,American Association for the Advancement of Science,green,,X,cannot,,can,,can,
"Strand, Julia",Article," Strand, J. 'Phi-square Lexical Competition Database (Phi-Lex): An online tool for quantifying auditory and visual lexical competition.' Behavior Research Methods (2013), doi:10.3758/s13428-013-0356-8.",,Behavior Research Methods ,Springer Verlag,green,,,cannot,,can,,can,
"Tasson, Jay",Article,"Tasson, Jay D.   'Antimatter, the SME, and Gravity.'  Hyperfine Interact 213 (2012): 137.",,Hyperfine Interact,Springer Verlag,green,,,cannot,,can,,can,
"Tasson, Jay",Article,"Tasson, Jay D.  'Status of Matter-Gravity Couplings in the SME.' CPT and Lorentz Symmetry VI, World Scientific, Singapore (2014), arXiv:1308.1171.",,CPT and Lorentz Symmetry,,,X,,,,,,,
"Tasson, Jay",Article,"Bertschinger, T. H.*,  N. A. Flowers* and Jay D. Tasson.  'Observer and Particle Transformations.' CPT and Lorentz Symmetry VI, World Scientific, Singapore (2014), arXiv:1308.6572.","T.H. Bertschinger, N.A. Flowers",CPT and Lorentz Symmetry VI,,,X,,,,,,,
"Tasson, Jay",Article,"Atkinson, D. W.*, M. Becker*, and Jay D. Tasson. 'Macroscopic Objects, Intrinsic Spin, and Lorentz Violation.'  CPT and Lorentz Symmetry VI , World Scientific, Singapore (2014), arXiv:1308.6743.","D.W. Atkinson, M. Becker",CPT and Lorentz Symmetry VI,,,X,,,,,,,
"Tasson, Jay",Article,"Tasson, Jay D.   'Lorentz Violation, Gravitomagnetism, and Intrinsic Spin.'  Phys. Rev. D 86 (2012), 124021.",,Physical Review D,,green,,,can,,can,,can,
"Titus, Sarah",Article,"Scott, C.* , S. J. Titus, and J. R. Davis. 'Using field data to constrain a numerical kinematic model for ridge-transform deformation in the Troodos ophiolite, Cyprus.'  Lithosphere 5 (2013): 109-127, doi:10.1130/L237.1.",Chelsea Scott,Lithosphere,Geological Society of America,white,,,cannot,,restricted,12 months embargo,unclear,
"Tompkins, David",Article,"Tompkins, David. 'The East is Red? Images of China in East Germany and Poland through the Sino-Soviet Split.' Zeitschrift für Ostmitteleuropa-Forschung 62:3 (2013): 393-424.",,Zeitschrift für Ostmitteleuropa-Forschung,,,X,,,,,,,
"Whited, Matt",Article,"Whited, M. T.; J. G. Bakker-Arkema*, J. E. Greenwald*, L. A. Morrill,* and D. E. Janzen.  'trans -Acetyldicarbonyl( ŋ5-cyclopentadienyl)[tris(furan-2-yl)phosphane- ƙP  ]molybdenum(II).'  Acta Crystallogr., Sect. E: Struct. Rep. Online 69 (2013): m475-m476.","Julia G. Bakker-Arkema, Julia E. Greenwald, Lucas A. Morrill",Acta Crystallographica,International Union of Crystallography,green,,,can,,can,,can,
"Whited, Matt",Article,"Krylova, V., P. I. Djurovich, J. W.  Aronson, R. M. Haiges, M. T. Whited, and M. E. Thompson. 'Structural and Photophysical Studies of Phosphorescent 3-Coordinate Cu(I) Complexes Supported by N-Heterocyclic Carbene Ligands.'  Organometallics 31 (2012): 7983-7993.",,Organometallics,American Chemical Society,white,,,cannot,,restricted,"If mandated by funding agency or employer/ institution; Must obtain written permission from Editor confirming posting does not conflict prior publication policies; If mandated to deposit before 12 months, must obtain waiver from Institution/Funding agency or use AuthorChoice; 12 months embargo",restricted,Must obtain written permission from Editor; Must not violate ACS ethical Guidelines
"Whited, Matt",Article,"Whited, M. T.  'Metal-Ligand Multiple Bonds as Frustrated Lewis Pairs for C-H Functionalization.'  Beilstein J. Org. Chem.8 (2012): 1554-1563.",,Beilstein Journal of Organic Chemistry,,blue,,,can,,can,,unclear,
"Wolff, Jennifer",Article,"Kalis, A. K.,  D. U. Kissiov*, E. S. Kolenbrander*, Z. Palchick*, S. Raghavan*, B. J. Tetreault*, E. Williams, C. M. Loer, and J. R. Wolff.  'Sexually dimorphic development of  C. elegans ventral cord neurons requires Hox and TALE-homeodomain transcription factors.'  Developmental Dynamics (2013), doi: 10.1002/dvdy.24064.    ","Djem Kissiov '12, Breanna Tetreault '13, Emily Kolenbrander '14, Shraddha Raghavan '16, and Zach Palchick '10",Developmental Dynamics,Wiley,yellow,,,cannot,,restricted,"12 months embargo for scientific, technical and medicine titles; 2 years embargo for humanities and social science titles",can,
