Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Average Search Depth
harden,11,1.18,100.00%,0.00%,0:00:05,0
willis Hall,11,2,40.00%: 100.00%: 0.00%: 0.00%: 0.00%: 0.00%: 100.00%,20.00%: 0.00%: 0.00%: 100.00%: 16.67%: 100.00%: 0.00%,0:07:27,2
New Student Week,11,1,14.29%: 100.00%: 100.00%,25.00%: 11.11%: 0.00%,0:02:33,0
learning and teaching center,11,1,25.00%: 66.67%: 50.00%: 0.00%: 0.00%,14.29%: 15.00%: 50.00%: 100.00%: 100.00%,0:05:25,0
Chapel,10,1,0.00%: 33.33%: 100.00%,46.15%: 7.69%: 0.00%,0:05:50,1
computer science,10,1,33.33%: 0.00%,21.74%: 100.00%,0:00:20,0
dining,10,3,12.50%: 0.00%: 0.00%,12.50%: 66.67%: 100.00%,0:06:37,4
Bardwell Smith,10,2,0.00%: 0.00%: 100.00%: 0.00%: 0.00%,27.78%: 33.33%: 0.00%: 100.00%: 50.00%,0:02:27,0
musser,10,1,42.86%: 0.00%: 0.00%,7.55%: 27.27%: 100.00%,0:04:18,0
japan american,10,2,0.00%: 50.00%: 0.00%: 0.00%: 0.00%: 0.00%: 100.00%,36.36%: 10.00%: 66.67%: 100.00%: 100.00%: 100.00%: 0.00%,0:05:33,0
Scrapbooks,10,2,75.00%: 75.00%: 0.00%: 100.00%,2.70%: 8.33%: 100.00%: 0.00%,0:02:22,0
grandstand,10,1,0.00%: 0.00%: 50.00%: 0.00%,45.45%: 20.00%: 50.00%: 100.00%,0:00:24,0
Scoville,10,6,37.50%: 50.00%,10.34%: 4.55%,0:07:34,6
bridge,9,5.89,33.33%,13.21%,0:09:18,5.44
news,9,1,0.00%: 50.00%: 100.00%: 0.00%: 100.00%,100.00%: 33.33%: 0.00%: 100.00%: 0.00%,0:00:23,0
voice,9,1,75.00%: 0.00%,15.38%: 100.00%,0:02:52,0
Chaplaincy,9,2,33.33%: 0.00%: 0.00%: 0.00%: 100.00%: 0.00%,30.00%: 5.26%: 25.00%: 50.00%: 0.00%: 100.00%,0:10:33,0
annual report,9,2,0.00%: 0.00%: 0.00%: 100.00%,36.36%: 50.00%: 25.00%: 0.00%,0:03:26,0
Skinner,9,1,33.33%: 33.33%,26.67%: 33.33%,0:01:11,0
Dacie Moses,9,1,33.33%: 0.00%,33.33%: 25.00%,0:03:50,2
Watson,9,2,0.00%: 0.00%: 0.00%: 0.00%: 0.00%,28.57%: 16.67%: 25.00%: 100.00%: 33.33%,0:01:39,0
zoobook,9,7,57.14%: 0.00%: 100.00%,18.18%: 4.76%: 0.00%,0:01:20,0
course catalogue,9,3,87.50%: 0.00%,4.17%: 0.00%,0:01:10,1
publications,9,2,12.50%: 100.00%,13.33%: 0.00%,0:01:26,0
Headley,9,1,0.00%: 50.00%: 0.00%: 50.00%: 0.00%,28.57%: 14.29%: 33.33%: 0.00%: 33.33%,0:01:37,1
Nordic,8,1,0.00%: 0.00%,14.29%: 16.67%,0:00:43,1
Ebony,8,1,50.00%: 50.00%,0.00%: 3.23%,0:11:15,1
architecture,8,1,0.00%: 0.00%: 0.00%: 0.00%: 100.00%: 100.00%: 100.00%: 0.00%,100.00%: 50.00%: 50.00%: 50.00%: 0.00%: 0.00%: 0.00%: 100.00%,0:00:14,0
Honors,8,1,60.00%: 100.00%: 100.00%,18.75%: 0.00%: 0.00%,0:02:19,0
erling larsen,8,1.62,25.00%,30.77%,0:10:03,2
Laird Stadium,8,1,14.29%: 0.00%,10.00%: 50.00%,0:03:27,1
Cowling,8,2,0.00%: 50.00%: 0.00%: 100.00%: 0.00%: 100.00%,28.57%: 20.00%: 50.00%: 0.00%: 10.00%: 0.00%,0:13:28,2
keith williams,8,1,0.00%: 0.00%: 0.00%: 0.00%,23.53%: 25.00%: 100.00%: 100.00%,0:01:27,1
Boliou,7,1,0.00%: 0.00%: 0.00%: 0.00%: 0.00%,44.44%: 33.33%: 100.00%: 0.00%: 25.00%,0:05:34,1
homecoming,7,6,16.67%: 100.00%,7.14%: 0.00%,0:03:41,0
Faculty Club,7,2,66.67%: 0.00%,11.11%: 100.00%,0:03:36,0
CLAP,7,1,50.00%: 100.00%,23.08%: 0.00%,0:00:14,0
reed whittemore,7,1,20.00%: 0.00%: 100.00%,57.14%: 100.00%: 0.00%,0:01:20,2
Weitz,7,2,33.33%: 66.67%: 0.00%,33.33%: 8.33%: 100.00%,0:00:20,0
Nason,7,2,60.00%: 50.00%,16.67%: 16.67%,0:01:37,2
Commencement,7,1,0.00%: 0.00%: 0.00%: 100.00%: 0.00%,0.00%: 100.00%: 33.33%: 0.00%: 100.00%,0:07:21,0
oral history,7,1,16.67%: 0.00%,15.79%: 100.00%,0:04:30,0
West Gym,7,3,33.33%: 0.00%,8.33%: 33.33%,0:05:23,2
phi beta kappa,7,1,0.00%: 100.00%,19.05%: 0.00%,0:07:10,0
Music Hall,7,2,50.00%: 100.00%: 0.00%,8.00%: 0.00%: 0.00%,0:03:29,2
wrestling,7,2,33.33%: 0.00%: 0.00%: 0.00%,20.00%: 50.00%: 100.00%: 100.00%,0:01:19,0
Sivaslian,7,1,33.33%: 0.00%: 0.00%: 0.00%,4.55%: 40.00%: 100.00%: 100.00%,0:07:30,0
music,6,2,0.00%: 0.00%: 0.00%: 0.00%: 0.00%,14.29%: 25.00%: 100.00%: 50.00%: 50.00%,0:01:20,0
Veblen,6,2,25.00%: 0.00%: 100.00%,10.00%: 100.00%: 0.00%,0:01:22,0
tunnels,6,1,25.00%: 0.00%,5.88%: 22.22%,0:09:26,5
margaret thompson,6,2,0.00%: 0.00%: 0.00%: 0.00%,10.00%: 40.00%: 100.00%: 100.00%,0:04:36,0
Laird Hall,6,6,20.00%: 0.00%,12.00%: 0.00%,0:07:22,8
Hughes family,6,1,20.00%: 100.00%,35.71%: 0.00%,0:02:23,0
radical research,6,2,83.33%,8.33%,0:00:39,0
Rugby,6,1,25.00%: 50.00%,13.33%: 9.09%,0:02:38,4
calendar,6,2,50.00%: 0.00%: 100.00%,28.57%: 100.00%: 0.00%,0:01:23,0
gender dormitories,6,1,0.00%: 0.00%: 0.00%: 0.00%: 0.00%: 0.00%,100.00%: 100.00%: 100.00%: 100.00%: 100.00%: 100.00%,0:00:10,0
treasurers reports,6,1,0.00%: 0.00%: 0.00%: 0.00%: 0.00%,100.00%: 100.00%: 50.00%: 50.00%: 100.00%,0:01:13,0
environmental studies,6,1,0.00%: 100.00%: 100.00%: 0.00%: 0.00%: 0.00%,100.00%: 0.00%: 0.00%: 50.00%: 100.00%: 100.00%,0:00:23,0
thorstein veblen,6,2,60.00%: 100.00%,0.00%: 0.00%,0:06:46,0
post card,6,5,25.00%: 100.00%: 0.00%,33.33%: 9.09%: 33.33%,0:10:43,1
eliet,6,2.33,16.67%,28.57%,0:09:36,3.17
president report,6,1,0.00%: 0.00%: 100.00%: 0.00%,25.00%: 100.00%: 0.00%: 100.00%,0:03:17,0
board of trustees,6,2,0.00%: 0.00%: 0.00%: 0.00%: 0.00%: 0.00%,0.00%: 33.33%: 100.00%: 100.00%: 50.00%: 50.00%,0:02:29,0
biology,6,2,0.00%: 0.00%: 0.00%: 100.00%: 0.00%: 0.00%,50.00%: 100.00%: 25.00%: 0.00%: 100.00%: 50.00%,0:02:30,3
swimming,6,1.83,50.00%,0.00%,0:01:44,1.67
Carleton The First Century,5,1,0.00%: 0.00%: 0.00%: 100.00%: 0.00%,100.00%: 0.00%: 100.00%: 0.00%: 100.00%,0:00:21,0
basketball,5,1,0.00%: 0.00%: 0.00%,15.00%: 100.00%: 0.00%,0:01:24,2
catherine boyd,5,1.8,40.00%,22.22%,0:04:58,3.8
lyman b. sperry,5,1.8,80.00%,0.00%,0:00:42,1.8
President,5,2,0.00%: 0.00%: 0.00%: 0.00%: 0.00%,0.00%: 25.00%: 100.00%: 0.00%: 0.00%,0:01:29,2
lonnes,5,1,50.00%: 0.00%,0.00%: 50.00%,0:12:32,0
laird field,5,5.4,20.00%,7.41%,0:01:15,3.8
cheerleading,5,7,33.33%: 0.00%: 0.00%,8.33%: 6.67%: 50.00%,0:02:27,2
KFMX,5,1,0.00%: 50.00%: 100.00%,100.00%: 20.00%: 50.00%,0:06:23,0
Faculty,5,2,0.00%: 0.00%: 0.00%: 0.00%,50.00%: 0.00%: 50.00%: 100.00%,0:00:28,1
class profile,5,1,33.33%: 0.00%,40.00%: 100.00%,0:00:26,0
departmantal reviews,5,1,0.00%: 0.00%: 0.00%: 0.00%,100.00%: 100.00%: 0.00%: 100.00%,0:01:19,0
Centennial,5,1,0.00%: 0.00%: 100.00%: 0.00%: 0.00%,100.00%: 100.00%: 0.00%: 33.33%: 100.00%,0:00:14,0
Dorms,5,2,0.00%: 0.00%,0.00%: 100.00%,0:07:32,4
Protest,5,2,50.00%: 50.00%: 0.00%,50.00%: 12.50%: 100.00%,0:00:22,0
Stork,5,2,66.67%: 100.00%: 0.00%,0.00%: 0.00%: 0.00%,0:01:35,1
building,5,1,0.00%: 100.00%: 0.00%: 0.00%: 100.00%,50.00%: 0.00%: 100.00%: 100.00%: 0.00%,0:00:10,0
soldier,5,1,0.00%: 0.00%,100.00%: 100.00%,0:00:10,0
miscellany,5,1,25.00%: 100.00%,17.65%: 0.00%,0:04:13,1
Football,5,1,50.00%: 0.00%: 100.00%,25.00%: 66.67%: 0.00%,0:00:23,0
american house,5,9,50.00%: 0.00%,5.00%: 0.00%,0:04:33,4
aerial,5,1,25.00%: 0.00%,5.88%: 100.00%,0:05:27,0
NISEI,5,1,0.00%: 0.00%: 0.00%,75.00%: 100.00%: 100.00%,0:00:26,0
Frisbee,5,3,0.00%: 0.00%,25.00%: 16.67%,0:01:17,1
autograph,5,3,100.00%: 0.00%: 0.00%: 0.00%: 0.00%,0.00%: 33.33%: 100.00%: 100.00%: 20.00%,0:06:24,0
Nourse,5,3,0.00%: 0.00%,28.57%: 16.67%,0:02:09,4
Evans Hall,5,2,75.00%: 100.00%,3.03%: 0.00%,0:02:43,1
fete poster,5,3.6,0.00%,16.67%,0:01:54,4.2
Rotblatt,5,1,33.33%: 0.00%,14.29%: 6.67%,0:03:34,4
carleton japan,5,1,75.00%: 100.00%,11.11%: 0.00%,0:04:13,0
perry mason,5,2,50.00%: 0.00%,16.67%: 66.67%,0:13:22,0
facilities,4,1,50.00%: 0.00%: 100.00%,22.22%: 100.00%: 0.00%,0:03:30,0
study,4,6,0.00%,12.50%,0:01:27,3
military,4,1,33.33%: 0.00%,50.00%: 100.00%,0:03:35,1
polio,4,1,66.67%: 100.00%,16.67%: 0.00%,0:05:03,0
Anatolia,4,3,0.00%: 0.00%,100.00%: 16.67%,0:05:38,1
shigemura,4,1.5,50.00%,33.33%,0:03:40,0.25
morrell nichols,4,1,0.00%: 0.00%: 0.00%: 0.00%,100.00%: 100.00%: 100.00%: 100.00%,0:00:18,0
Waterford,4,1,0.00%: 0.00%: 0.00%,11.11%: 100.00%: 100.00%,0:00:24,0
Great Hall,4,3.5,50.00%,14.29%,0:01:14,2.75
faculty committee religious affairs,4,3,0.00%: 0.00%: 0.00%: 0.00%,66.67%: 66.67%: 16.67%: 50.00%,0:11:34,0
Convocation,4,1,0.00%: 0.00%: 0.00%: 0.00%,100.00%: 100.00%: 0.00%: 33.33%,0:17:37,1
press releases,4,1,66.67%: 0.00%,20.00%: 100.00%,0:00:07,0
fest,4,2,25.00%,37.50%,0:00:54,1
buckminster,4,2.75,100.00%,0.00%,0:01:55,0
Track,4,1,0.00%: 0.00%: 0.00%,66.67%: 100.00%: 0.00%,0:04:15,0
atherton bean,4,1.5,25.00%,33.33%,0:15:06,8.25
Armenia,4,1,0.00%: 0.00%: 0.00%: 0.00%,100.00%: 100.00%: 100.00%: 100.00%,0:00:15,0
Peter schjeldahl,4,1,0.00%: 0.00%: 0.00%: 0.00%,100.00%: 50.00%: 100.00%: 100.00%,0:00:09,0
legend of fair women,4,2.5,0.00%,10.00%,0:09:24,3
Jarchow,4,2,0.00%: 100.00%: 0.00%,100.00%: 16.67%: 100.00%,0:04:23,0
J.J. Dow,4,2,0.00%: 0.00%: 0.00%: 0.00%,100.00%: 40.00%: 0.00%: 100.00%,0:00:17,1
blueprints,4,2,0.00%: 0.00%: 0.00%,33.33%: 0.00%: 100.00%,0:01:15,1
Oral History Interviews,4,3,0.00%: 0.00%: 0.00%,12.50%: 0.00%: 25.00%,0:02:24,1
unco,4,1.75,75.00%,28.57%,0:01:29,0
Carleton corporation,4,2,0.00%: 0.00%: 0.00%,33.33%: 25.00%: 100.00%,0:04:35,1
Northfield,4,1,0.00%: 0.00%: 0.00%,42.86%: 0.00%: 100.00%,0:00:35,0
carleton farm,4,5,50.00%: 0.00%,5.56%: 100.00%,0:01:15,0
original observatory,4,3,0.00%: 100.00%,8.00%: 0.00%,0:04:43,1
Vietnam,4,2.75,50.00%,18.18%,0:00:31,0.5
martha elizabeth donaldson,4,1,100.00%: 100.00%: 100.00%,18.18%: 0.00%: 0.00%,0:00:20,0
faculty religious affairs,4,5,0.00%: 100.00%: 0.00%: 0.00%,5.56%: 0.00%: 50.00%: 100.00%,0:02:17,0
archives,4,3,0.00%: 0.00%: 0.00%: 0.00%,20.00%: 100.00%: 33.33%: 25.00%,0:04:12,1
