Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Average Search Depth
williams,8,5,12.50%,15.00%,0:05:23,3.38
zoobook,8,2.5,25.00%,25.00%,0:07:15,1.38
7/15/14,7,2.86,14.29%,40.00%,0:10:01,0
black,7,3.57,14.29%,44.00%,0:06:36,3
bonfire,7,2.71,28.57%,21.05%,0:02:15,3
calendar,7,2.43,14.29%,41.18%,0:09:11,0.71
carleton china,7,2.71,14.29%,31.58%,0:05:15,0.43
dacie moses,7,2,42.86%,28.57%,0:11:41,3.29
dining,7,2.57,0.00%,44.44%,0:15:07,7
fete poster,7,3,0.00%,23.81%,0:01:39,3
goat,7,4.29,0.00%,33.33%,0:14:15,2.14
golf,7,5.86,14.29%,14.63%,0:16:36,4.14
gym,7,7.86,14.29%,10.91%,0:24:54,5.71
jarchow,7,2.71,14.29%,36.84%,0:09:43,0.86
look magazine,7,2.43,28.57%,41.18%,0:05:17,1.57
northfield,7,4.14,0.00%,24.14%,0:08:41,1.43
opening convocation,7,2.29,42.86%,31.25%,0:04:04,0
play,7,13,14.29%,8.79%,0:16:40,14.43
programs,7,2.86,14.29%,35.00%,0:02:59,0.14
residential life,7,3.57,42.86%,24.00%,0:02:06,0.14
scrapbooks,7,2.14,57.14%,20.00%,0:01:51,0
skiing,7,3,28.57%,33.33%,0:02:44,1.86
sports,7,4.14,42.86%,13.79%,0:01:51,0.57
strong,7,2.71,28.57%,31.58%,0:01:19,1.71
the carl,7,2.29,14.29%,43.75%,0:01:27,0.14
track and field,7,2.86,0.00%,25.00%,0:02:21,3
transcr,7,1.86,28.57%,30.77%,0:12:19,0.71
treasurer report,7,2.14,14.29%,46.67%,0:08:59,2
2/3/16,6,2.83,0.00%,41.18%,0:07:22,1
7994,6,2,0.00%,50.00%,0:02:54,1.5
archery,6,2,16.67%,25.00%,0:07:04,4.83
army,6,2.17,16.67%,38.46%,0:01:10,1
artifacts,6,3.17,0.00%,36.84%,0:06:25,0.17
atherton bean,6,1.5,16.67%,55.56%,0:03:16,0
black at carleton,6,2,0.00%,41.67%,0:04:47,0.33
campus,6,10,0.00%,16.67%,0:12:22,2.83
"carl, the",6,3.17,33.33%,15.79%,0:04:31,1.5
Chapel,6,8.5,0.00%,7.84%,0:06:26,5.67
choir,6,7.67,16.67%,6.52%,0:10:40,2.67
construction,6,10.67,66.67%,7.81%,0:31:15,4.17
dorm life,6,3.5,0.00%,28.57%,0:04:56,4
eat,6,3,66.67%,16.67%,0:03:31,0.83
eisenhower,6,1.5,33.33%,33.33%,0:01:09,0.33
english department,6,3.17,50.00%,21.05%,0:01:59,0.33
fest,6,2.67,16.67%,37.50%,0:04:58,2.67
flood,6,3,50.00%,11.11%,0:07:53,0.83
food,6,2,16.67%,50.00%,0:04:19,0.83
henrickson,6,1.67,16.67%,40.00%,0:16:32,4.17
horse,6,3.17,16.67%,21.05%,0:02:30,2.17
japanese garden,6,1.83,16.67%,36.36%,0:13:40,1.67
john schott,6,2.17,66.67%,0.00%,0:02:32,0.67
leighton,6,2.67,33.33%,25.00%,0:07:40,0.67
library construction,6,1.5,0.00%,44.44%,0:07:34,0.67
little nourse,6,4.33,0.00%,15.38%,0:06:18,3.17
lonnes,6,5,33.33%,10.00%,0:24:18,3.17
ltc,6,1.67,0.00%,70.00%,0:02:13,0.17
martha paas,6,1.33,16.67%,62.50%,0:05:13,0.83
musser hall,6,3.33,33.33%,20.00%,0:04:48,0.83
nnb,6,2.67,0.00%,37.50%,0:09:45,1.5
ohp,6,1.33,16.67%,75.00%,0:04:53,0.33
oral histories,6,2,66.67%,8.33%,0:05:56,0.67
physical education,6,3.33,33.33%,25.00%,0:09:12,1.17
pranks,6,6.33,33.33%,10.53%,0:07:52,1.17
reunion,6,16.67,16.67%,6.00%,0:25:10,7.17
sayles,6,3.17,0.00%,21.05%,0:12:40,1.83
Shigemura,6,2.83,16.67%,29.41%,0:09:02,1
skinner,6,3,0.00%,38.89%,0:13:56,5
study,6,7.33,16.67%,9.09%,0:04:22,4
tennis,6,1.83,0.00%,54.55%,0:02:36,1
the clap,6,2.83,33.33%,29.41%,0:02:07,0.17
treasurer,6,2,33.33%,33.33%,0:03:59,0.17
weitz,6,2.17,33.33%,23.08%,0:02:21,2
wellstone,6,1.83,0.00%,45.45%,0:06:43,1
women athletics,6,5.17,0.00%,29.03%,0:09:32,3.5
women softball,6,2.33,0.00%,42.86%,0:01:56,0.67
6/9/03,5,3,0.00%,40.00%,0:02:47,0.6
20131219_ChoirScans/data/originals/posters,5,2,20.00%,40.00%,0:01:56,0.8
2015-07,5,1.8,20.00%,33.33%,0:02:33,1.4
20150831_digitizedAlbums,5,9.4,20.00%,6.38%,0:11:26,1
7888,5,1,0.00%,100.00%,0:01:26,0
alcohol,5,1.6,20.00%,50.00%,0:02:55,1
alumni office,5,3.4,0.00%,11.76%,0:13:18,0.6
bald spot,5,2.4,20.00%,33.33%,0:01:24,1.6
bell field,5,6,0.00%,26.67%,0:11:26,6.8
blake stewart,5,2,40.00%,30.00%,0:00:45,0.8
bob will,5,1.4,0.00%,85.71%,0:07:07,1
boliou,5,2.8,40.00%,14.29%,0:10:05,0.6
campus map,5,3,20.00%,20.00%,0:06:55,0.8
campus plan,5,2.2,40.00%,27.27%,0:01:28,0.2
carleton today,5,4.4,20.00%,22.73%,0:11:59,0.6
