Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Average Search Depth,Alternate Spellings
Myths,2,1.5,50.00%,0.00%,0:00:10,0.5,1
N Word,2,1,50.00%,50.00%,0:00:08,0,1
Navigating The Nineties,2,1,100.00%,0.00%,0:00:00,0,0
New Students,2,4,0.00%,64.28%,0:04:00,0.5,1
News Press,2,3,100.00%,0.00%,0:00:19,0,0
News Releases,2,2,100.00%,0.00%,0:00:06,0,0
Nnb,2,2.5,50.00%,25.00%,0:00:27,0,1
Northfield Bridge,2,1,0.00%,50.00%,0:00:48,0.5,0
Observatory,2,3.5,0.00%,28.57%,0:12:11,2,0
Old Observatory,2,4.5,50.00%,0.00%,0:00:34,1.5,0
Olin,2,4.5,0.00%,0.00%,0:01:02,3,0
Onecard,2,2,0.00%,66.66%,0:00:22,0,1
Oral History Interviews,2,3,0.00%,37.50%,0:01:31,0.5,1
Orchestra,2,1,50.00%,50.00%,0:06:10,0,0
Organ,2,1.5,0.00%,75.00%,0:05:03,0.5,1
Oscar Penguin,2,2.5,50.00%,41.66%,0:00:27,1,1
Pancake Hall,2,8.5,50.00%,0.00%,0:21:59,5.5,0
Papers,2,1,0.00%,50.00%,0:00:22,1.5,1
Paris,2,4.5,0.00%,62.50%,0:05:34,2,1
Party,2,6,0.00%,16.67%,0:06:40,4.5,0
Pat Merrick,2,1,0.00%,100.00%,0:00:14,0,1
Patricia Lamb,2,3,0.00%,33.33%,0:03:43,0,0
Patton Fischer,2,3.5,0.00%,58.34%,0:00:27,0,1
Pear,2,2,0.00%,66.66%,0:06:58,5.5,1
Pep Band,2,2,50.00%,25.00%,0:00:23,0.5,1
Phenix,2,7,0.00%,21.43%,0:13:22,9.5,0
Philosophy,2,5.5,0.00%,0.00%,0:02:04,9.5,0
Photo Shoot,2,1.5,0.00%,75.00%,0:00:20,0,1
Photographic Prints,2,2.5,0.00%,41.66%,0:18:10,7.5,1
Polio,2,1.5,50.00%,0.00%,0:00:10,0.5,0
Political Freshmen,2,1.5,100.00%,0.00%,0:00:03,0,0
Porter,2,1.5,50.00%,25.00%,0:00:06,0,1
Portrait,2,14.5,0.00%,1.78%,0:02:44,3,1
Poskanzer,2,2,0.00%,83.34%,0:01:05,3,1
Press Releases,2,2,100.00%,0.00%,0:00:04,0,1
Raka Mitra,2,3,100.00%,0.00%,0:00:16,0,0
Real Estate Minnesota,2,2,0.00%,66.66%,0:03:38,0.5,1
Reck Peterson,2,4,0.00%,33.34%,0:01:08,0,1
Red Tie,2,1.5,0.00%,66.67%,0:11:22,0,0
Reformed Druids,2,2,100.00%,0.00%,0:00:44,0,1
Reine Myers,2,3,50.00%,25.00%,0:01:17,0,1
Religion,2,2,0.00%,25.00%,0:05:22,1.5,0
Rinconda,2,1,0.00%,100.00%,0:00:08,0,1
Robert Edwards,2,2,50.00%,50.00%,0:26:16,3,1
Romeo,2,2.5,0.00%,40.00%,0:10:02,5,0
Roy A Waggener,2,2,0.00%,50.00%,0:18:17,1,1
Rules,2,3,50.00%,16.67%,0:01:46,0,0
Russell Langworthy,2,9,0.00%,11.25%,0:06:35,3,1
Sayles-Hill,2,6,50.00%,0.00%,0:00:45,3,0
Science,2,9.5,50.00%,5.26%,0:06:01,7.5,0
Scott Bierman,2,2,0.00%,50.00%,0:01:29,0,1
Scoville Memorial Library,2,2,50.00%,0.00%,0:00:59,0.5,1
Sculpture,2,3,50.00%,16.67%,0:00:46,3,0
Seal,2,7,0.00%,7.14%,0:04:10,0.5,0
Ser. R1,2,2.5,50.00%,20.00%,0:01:56,0,0
Sex Dormitories,2,1,0.00%,100.00%,0:00:07,0.5,1
Shigemura,2,2.5,50.00%,20.00%,0:01:13,1,0
Sidney Wolff,2,1,50.00%,50.00%,0:01:09,0,1
Sivaslian,2,5.5,100.00%,0.00%,0:10:30,3.5,1
Smoking,2,8,0.00%,56.66%,0:15:58,12,1
Social Events,2,1.5,50.00%,33.33%,0:04:30,0.5,0
Southwick,2,1,0.00%,50.00%,0:00:10,0.5,1
Sovik,2,1,50.00%,50.00%,0:00:31,1,0
Special Events Department Recordings,2,1.5,50.00%,50.00%,0:00:04,0,1
Sports Photos,2,2.5,0.00%,25.00%,0:00:52,1,1
Spring Concert,2,6.5,0.00%,15.38%,0:00:52,2,0
Starr Foundation,2,3,0.00%,37.50%,0:00:56,0,1
Stearn,2,1,0.00%,100.00%,0:05:24,0,1
Strategic Plan,2,2,0.00%,66.66%,0:00:23,0,1
Student Employment,2,4,0.00%,25.00%,0:02:13,0,0
Student In Dining Hall,2,7,0.00%,17.50%,0:18:55,1.5,1
Student Majors,2,1.5,50.00%,33.33%,0:00:16,0,0
Teach In,2,2.5,0.00%,62.50%,0:01:15,0.5,1
Teaching Assistant,2,3.5,0.00%,28.57%,0:09:05,0,0
Telecom,2,1.5,0.00%,75.00%,0:14:19,3,1
Tenure Review,2,20,50.00%,7.50%,0:04:09,1,0
Test,2,1.5,50.00%,0.00%,0:03:20,1,0
Thomas Spicer,2,2,0.00%,66.66%,0:00:31,0,1
Time Capsule,2,1,0.00%,100.00%,0:04:21,0,1
Tinnin,2,2.5,50.00%,12.50%,0:11:15,3,1
Toff,2,2.5,0.00%,40.00%,0:00:43,0,0
Traditions,2,2,0.00%,50.00%,0:01:32,1,1
Treasurer's Office,2,2,50.00%,25.00%,0:00:34,0,0
Trivia,2,1,0.00%,100.00%,0:00:53,0,0
Verbrugghen,2,1.5,0.00%,75.00%,0:01:26,2.5,1
Viewbooks,2,2.5,50.00%,41.66%,0:04:58,0,1
Views,2,1,50.00%,50.00%,0:00:13,0,1
Visually Impaired,2,1,50.00%,50.00%,0:00:02,0,1
Visuals,2,1,0.00%,100.00%,0:06:48,0,1
War,2,3.5,0.00%,42.86%,0:02:47,1.5,0
Watson,2,2.5,0.00%,20.00%,0:00:38,1.5,0
William Barton Estate,2,2,0.00%,66.66%,0:11:37,0,1
Williams Hall,2,2.5,0.00%,41.66%,0:20:56,9.5,1
Women's League Cabin,2,4.5,0.00%,16.66%,0:05:25,1.5,1
Yearbook,2,3,0.00%,66.66%,0:00:42,0.5,1
1958 Oden,1,1,0.00%,100.00%,0:04:12,0,0
1970 Strike,1,2,0.00%,0.00%,0:00:10,1,0
1971 Symposium,1,1,100.00%,0.00%,0:00:00,0,0
1992 Reflection,1,1,0.00%,100.00%,0:00:43,1,0
3Rd Burton,1,2,0.00%,50.00%,0:00:29,0,0
58Ers,1,1,0.00%,100.00%,0:00:09,0,0
A Dominican Story,1,1,100.00%,0.00%,0:00:00,0,0
Academic Catalog,1,2,0.00%,0.00%,0:01:08,3,0
Academic Majors,1,2,0.00%,50.00%,0:20:15,0,0
Academic Technology,1,1,0.00%,100.00%,0:00:14,0,0
Academy,1,3,100.00%,0.00%,0:00:35,0,0
Accessibility Initiative,1,1,0.00%,100.00%,0:00:19,0,0
Accessions,1,1,0.00%,100.00%,0:03:53,0,0
Accreditation,1,1,0.00%,100.00%,0:10:20,0,0
Act,1,7,0.00%,14.29%,0:03:12,1,0
Acting,1,2,0.00%,50.00%,0:00:20,0,0
Activism,1,3,100.00%,0.00%,0:00:13,0,0
Actor,1,4,100.00%,25.00%,0:00:18,0,0
Actress,1,3,0.00%,33.33%,0:00:14,0,0
Ada Mae Harrison,1,1,0.00%,0.00%,0:01:05,2,0
Adade,1,1,0.00%,100.00%,0:00:23,1,0
Adel,1,2,0.00%,50.00%,0:00:42,2,0
Admissions,1,4,0.00%,25.00%,0:02:23,1,0
Admissions Snapshot,1,1,0.00%,100.00%,0:00:08,0,0
African,1,2,0.00%,50.00%,0:01:20,0,0
Agriculture,1,1,0.00%,100.00%,0:03:34,0,0
Airport,1,2,0.00%,0.00%,0:03:35,3,0
Alan Sancho Cochran-Bond,1,2,0.00%,50.00%,0:00:56,0,0
Alberg,1,2,0.00%,50.00%,0:01:56,1,0
Alex Haley,1,4,0.00%,0.00%,0:00:50,1,0
Alice,1,3,100.00%,33.33%,0:00:42,1,0
Alice Belle Stratton,1,2,0.00%,0.00%,0:01:35,12,0
Alpha,1,2,0.00%,50.00%,0:01:00,3,0
Alumni Board,1,2,0.00%,50.00%,0:24:53,0,0
Alumni Convo,1,1,0.00%,100.00%,0:01:16,0,0
Alvarez,1,1,0.00%,100.00%,0:00:29,1,0
American House,1,2,0.00%,50.00%,0:02:25,1,0
American Jewish World,1,1,100.00%,0.00%,0:00:00,0,0
Anderson Hulings,1,6,100.00%,0.00%,0:02:06,0,0
Animals In Captivity,1,1,0.00%,100.00%,0:00:09,0,0
Anishinaabe,1,1,100.00%,0.00%,0:00:00,0,0
Ann Niles,1,2,0.00%,0.00%,0:00:21,1,0
Ann Ulmer,1,2,100.00%,0.00%,0:00:27,0,0
Anna Donella,1,1,0.00%,100.00%,0:04:54,0,0
Antigone,1,2,0.00%,50.00%,0:00:36,0,0
Appleyard,1,1,100.00%,0.00%,0:00:00,0,0
Ar3,1,1,0.00%,100.00%,0:00:12,0,0
Arb Bridge,1,1,100.00%,0.00%,0:00:00,0,0
Arb Farm,1,7,0.00%,14.29%,0:02:04,1,0
Arb Students,1,1,0.00%,100.00%,0:00:07,0,0
Arboretorem,1,1,0.00%,100.00%,0:00:34,0,0
Arboretum Annual Report,1,2,0.00%,50.00%,0:00:46,3,0
Arboretum Class,1,1,0.00%,100.00%,0:00:27,0,0
Arboretum Mission Statements,1,2,100.00%,0.00%,0:00:08,0,0
Arboretum Students,1,4,0.00%,0.00%,0:23:41,16,0
Architectural Building,1,2,0.00%,50.00%,0:00:32,1,0
Architecture,1,2,100.00%,0.00%,0:00:05,0,0
Archives Annual Report,1,6,0.00%,16.67%,0:00:23,0,0
Area Director,1,2,100.00%,0.00%,0:00:07,0,0
Arena Theatre,1,3,0.00%,33.33%,0:03:49,0,0
Armenia,1,2,0.00%,100.00%,0:02:48,0,0
Arms,1,2,0.00%,100.00%,0:00:52,0,0
Army,1,5,0.00%,20.00%,0:02:53,6,0
Arpanet,1,1,100.00%,0.00%,0:00:00,0,0
Art In Government Documents,1,1,100.00%,0.00%,0:00:00,0,0
Artifact Box,1,1,0.00%,100.00%,0:00:06,0,0
Arturo,1,1,0.00%,100.00%,0:00:33,0,0
As Opposed To The Wrong Place,1,2,0.00%,50.00%,0:01:14,3,0
Ash,1,2,0.00%,50.00%,0:01:42,0,0
Asl,1,1,0.00%,100.00%,0:00:45,0,0
Atherton,1,5,0.00%,20.00%,0:00:43,0,0
Athletic Association,1,1,0.00%,0.00%,0:00:33,1,0
Athletic Cheerleaders,1,1,100.00%,0.00%,0:00:00,0,0
Athletic Funding,1,1,0.00%,100.00%,0:01:51,0,0
Athletic Participation,1,1,0.00%,100.00%,0:08:29,0,0
Attendance Form,1,1,0.00%,100.00%,0:00:08,0,0
Attention Percentage,1,1,100.00%,0.00%,0:00:00,0,0
Babin,1,1,0.00%,0.00%,0:00:24,2,0
Bad,1,3,0.00%,33.33%,0:01:30,1,0
Bad Day,1,1,0.00%,100.00%,0:02:23,0,0
Barbour,1,2,0.00%,50.00%,0:00:20,1,0
Barry Goldwater,1,1,100.00%,0.00%,0:00:00,0,0
Base,1,1,0.00%,100.00%,0:00:28,0,0
Baseball Eradication,1,1,0.00%,100.00%,0:00:09,0,0
Baseball Records,1,6,0.00%,0.00%,0:01:16,1,0
Baseball Statistics,1,2,0.00%,50.00%,0:06:07,1,0
Bechtel,1,1,0.00%,100.00%,0:08:00,46,0
Beta,1,2,0.00%,50.00%,0:00:16,0,0
Beth Brinda,1,1,0.00%,100.00%,0:01:28,0,0
Bike,1,2,0.00%,50.00%,0:00:14,0,0
Bill Clinton,1,3,100.00%,33.33%,0:01:02,0,0
Bio File,1,2,0.00%,50.00%,0:00:34,0,0
Biography,1,1,0.00%,100.00%,0:03:06,0,0
Biology,1,1,0.00%,100.00%,0:01:33,2,0
Biology Comps,1,2,100.00%,0.00%,0:00:46,3,0
Birds Of The Arboretum,1,2,100.00%,0.00%,0:00:07,0,0
Black,1,2,0.00%,50.00%,0:00:37,2,0
Black Experience,1,1,0.00%,100.00%,0:05:57,0,0
Black Queer,1,1,100.00%,0.00%,0:00:00,0,0
Black Queer Alliance,1,1,0.00%,100.00%,0:00:07,0,0
Black Student Alliance,1,6,0.00%,16.67%,0:10:15,1,0
Blaha,1,11,0.00%,0.00%,0:04:41,1,0
Blaney,1,7,0.00%,14.29%,0:08:18,0,0
Blue Wildebeest,1,1,0.00%,100.00%,0:00:27,0,0
Bluestein,1,1,100.00%,0.00%,0:00:00,0,0
Board Of Trustees,1,1,0.00%,100.00%,0:06:19,0,0
Bob Sullivan,1,3,0.00%,33.33%,0:05:44,1,0
Bolivia,1,1,100.00%,0.00%,0:00:00,0,0
Bombay,1,2,0.00%,50.00%,0:00:21,0,0
Bon Appetit,1,1,0.00%,100.00%,0:00:09,0,0
Bookstore,1,2,0.00%,50.00%,0:04:58,1,0
Bridge Arboretum,1,1,0.00%,100.00%,0:00:12,0,0
Bridge Snow,1,1,0.00%,100.00%,0:05:05,1,0
Brinda,1,1,100.00%,0.00%,0:00:00,0,0
Broomball,1,2,0.00%,50.00%,0:00:30,1,0
Brownson,1,7,100.00%,0.00%,0:02:33,5,0
Bryan Gibson,1,2,100.00%,0.00%,0:00:10,0,0
Bsa,1,2,0.00%,50.00%,0:01:27,0,0
Bubbles,1,3,0.00%,33.33%,0:00:16,0,0
Buclwald,1,1,0.00%,100.00%,0:00:06,0,0
Budget,1,1,0.00%,100.00%,0:00:24,0,0
Budget Arboretum,1,2,100.00%,0.00%,0:00:05,0,0
Building Reports,1,7,0.00%,28.57%,0:26:37,16,0
Burt Krayenbuhl,1,2,100.00%,0.00%,0:00:15,0,0
Bust,1,2,100.00%,0.00%,0:00:09,0,0
Butt End,1,3,0.00%,33.33%,0:01:33,0,0
Calendar Discussion,1,6,100.00%,0.00%,0:14:45,0,0
Cambodia,1,4,100.00%,0.00%,0:00:18,0,0
Campus Directory,1,2,100.00%,0.00%,0:00:09,0,0
Campus Photos,1,4,0.00%,25.00%,0:29:00,0,0
Cane Rush,1,6,0.00%,16.67%,0:00:42,3,0
Cannibalism,1,2,100.00%,0.00%,0:00:13,0,0
Canoe Club,1,1,0.00%,100.00%,0:28:54,0,0
Careers After Carleton,1,2,100.00%,0.00%,0:13:05,0,0
Carl,1,16,0.00%,6.25%,0:05:55,9,0
Carleton Archives,1,2,0.00%,50.00%,0:07:16,1,0
Carleton Art Gallery,1,3,0.00%,33.33%,0:06:13,0,0
Carleton Art Museum,1,2,0.00%,50.00%,0:00:25,0,0
Carleton Band,1,1,0.00%,100.00%,0:00:26,0,0
Carleton Blue,1,1,0.00%,0.00%,0:00:13,2,0
Carleton College Bulletin,1,2,0.00%,50.00%,0:01:36,0,0
Carleton College Endowment Data,1,1,0.00%,100.00%,0:00:06,0,0
Carleton Corporation,1,1,0.00%,0.00%,0:00:33,1,0
Carleton Graphic,1,4,0.00%,50.00%,0:02:47,5,0
Carleton In Japan,1,2,0.00%,50.00%,0:03:01,0,0
Carleton Live 1,1,1,0.00%,100.00%,0:21:22,3,0
Carleton Magazine,1,4,100.00%,0.00%,0:00:38,0,0
Carleton Miscellany,1,1,100.00%,0.00%,0:00:00,0,0
Carleton Moves Confidently,1,2,100.00%,0.00%,0:00:10,0,0
Carleton On 60 Minutes,1,2,100.00%,0.00%,0:00:18,0,0
Carleton Oral History Program,1,2,100.00%,0.00%,0:00:24,0,0
Carleton Our Alma Mater,1,1,0.00%,100.00%,0:06:45,2,0
Carleton Progressive,1,2,100.00%,0.00%,0:00:06,0,0
Carleton Ultimate Team,1,3,0.00%,33.33%,0:02:13,1,0
Carleton Underground,1,3,0.00%,33.33%,0:04:15,0,0
Carleton's First Hundred Years,1,1,100.00%,0.00%,0:00:00,0,0
Carletonian Cross,1,1,0.00%,100.00%,0:00:09,0,0
Carnage,1,1,0.00%,100.00%,0:00:12,0,0
Carolyn Richards,1,5,100.00%,0.00%,0:01:23,0,0
Carolyn Soule,1,3,0.00%,33.33%,0:00:22,0,0
Carver Nason,1,1,0.00%,100.00%,0:12:15,7,0
Cassat,1,2,0.00%,50.00%,0:02:54,1,0
Celebrating 125,1,1,100.00%,0.00%,0:00:00,0,0
Celebration,1,1,0.00%,100.00%,0:00:50,0,0
Central Records,1,2,0.00%,50.00%,0:11:01,4,0
Chain Mail,1,1,0.00%,100.00%,0:00:10,0,0
Chaney House,1,8,0.00%,12.50%,0:09:55,1,0
Chapel Balcony,1,3,0.00%,33.33%,0:00:18,1,0
Chapel Service,1,1,0.00%,100.00%,0:00:32,0,0
Chapel Slip,1,2,0.00%,50.00%,0:00:22,0,0
Charles Henry Maxwell,1,4,100.00%,25.00%,0:02:19,2,0
Charles Murray,1,3,0.00%,33.33%,0:02:21,10,0
Chemistry Department Reports,1,1,0.00%,100.00%,0:00:13,0,0
Chris Roan,1,1,100.00%,0.00%,0:00:00,0,0
Christian,1,1,0.00%,100.00%,0:00:20,0,0
Cia,1,1,100.00%,0.00%,0:00:00,0,0
Cigarettes,1,2,0.00%,50.00%,0:02:08,0,0
Cjalk,1,1,0.00%,100.00%,0:00:03,0,0
Class,1,28,0.00%,3.57%,0:07:36,5,0
Class 1997,1,1,100.00%,0.00%,0:00:00,0,0
Class Collaboration,1,1,0.00%,100.00%,0:01:01,0,0
Class Honors,1,1,0.00%,100.00%,0:00:08,0,0
Class In Arb,1,1,0.00%,100.00%,0:09:36,0,0
Class Outside,1,1,0.00%,100.00%,0:01:18,0,0
Class Photo Boliou,1,2,0.00%,50.00%,0:08:09,16,0
Class President,1,1,0.00%,0.00%,0:00:50,3,0
Climate Action Plan,1,2,100.00%,0.00%,0:00:06,0,0
Coat Arms,1,2,0.00%,50.00%,0:01:26,0,0
Coat Of Arms,1,1,100.00%,0.00%,0:00:00,0,0
Coed,1,7,0.00%,14.29%,0:17:28,4,0
Cold War,1,2,100.00%,0.00%,0:00:13,0,0
College Catalog,1,1,100.00%,0.00%,0:00:00,0,0
College Council,1,3,0.00%,33.33%,0:01:21,0,0
College Farm,1,2,0.00%,50.00%,0:01:25,1,0
College Health Service,1,2,100.00%,0.00%,0:00:17,0,0
College Hospital,1,1,0.00%,100.00%,0:00:34,0,0
Comics Journal,1,2,0.00%,0.00%,0:01:22,5,0
Commencement Program,1,2,100.00%,0.00%,0:00:05,0,0
Commencement Video,1,3,0.00%,33.33%,0:00:37,0,0
Common Data Set,1,1,0.00%,100.00%,0:00:15,0,0
Comprehensive,1,6,0.00%,33.33%,0:03:46,2,0
Comps Robert Daniels,1,1,100.00%,0.00%,0:00:00,0,0
Computer Center,1,6,0.00%,16.67%,0:03:24,0,0
Computer Project,1,1,0.00%,100.00%,0:03:49,9,0
Concentrations,1,2,0.00%,50.00%,0:27:05,50,0
Concert Program,1,1,100.00%,0.00%,0:00:00,0,0
Connole,1,2,0.00%,50.00%,0:02:10,1,0
Contro,1,1,0.00%,100.00%,0:00:14,0,0
Controv,1,1,0.00%,100.00%,0:00:13,0,0
Controversy,1,5,100.00%,0.00%,0:03:04,0,0
Cook,1,5,0.00%,20.00%,0:00:39,1,0
Cooking,1,3,0.00%,33.33%,0:06:43,1,0
Cooperative Institutional Research Program,1,2,0.00%,50.00%,0:00:29,0,0
Courses Of Study In Carleton College Preparing,1,2,100.00%,0.00%,0:00:09,0,0
Cowling Chapel,1,1,0.00%,100.00%,0:00:07,0,0
Cowling Plans,1,2,100.00%,50.00%,0:00:10,0,0
Cowling Portrait,1,2,0.00%,50.00%,0:04:04,2,0
Cowling Preaching,1,1,0.00%,100.00%,0:00:12,0,0
Cowling Retirement 1965,1,1,100.00%,0.00%,0:00:00,0,0
Cowling Skinner,1,1,0.00%,100.00%,0:00:08,0,0
Cowling Tennis,1,1,0.00%,0.00%,0:00:35,1,0
Crest,1,1,100.00%,0.00%,0:00:00,0,0
Crew,1,2,0.00%,50.00%,0:00:14,0,0
Critical Perspectives On The Black Experience Symposium,1,1,0.00%,100.00%,0:00:11,0,0
Croquet,1,2,0.00%,50.00%,0:00:15,0,0
Crucible,1,2,0.00%,50.00%,0:00:42,1,0
Csa Minutes,1,2,0.00%,50.00%,0:00:33,0,0
Csnet,1,1,0.00%,100.00%,0:08:24,1,0
Currency,1,1,0.00%,100.00%,0:01:47,0,0
Curriculum,1,4,0.00%,75.00%,0:35:27,1,0
Dacie,1,2,0.00%,50.00%,0:00:32,0,0
Dakota,1,3,0.00%,33.33%,0:00:29,0,0
Dakota People,1,2,100.00%,0.00%,0:00:12,0,0
Dale Williams,1,4,0.00%,0.00%,0:05:05,19,0
Dana,1,1,100.00%,0.00%,0:00:00,0,0
Daniel Alabi,1,1,100.00%,0.00%,0:00:00,0,0
Data Race,1,2,100.00%,0.00%,0:00:11,0,0
Dave Alberg,1,1,0.00%,100.00%,0:00:08,0,0
David Cohen,1,3,100.00%,0.00%,0:01:58,2,0
Dean Of The College,1,4,0.00%,50.00%,0:07:03,0,0
Dean Warnholtz,1,1,100.00%,0.00%,0:00:00,0,0
Dean's Office,1,5,0.00%,40.00%,0:15:55,0,0
Declared Majors,1,2,0.00%,100.00%,0:14:35,0,0
Deeds,1,1,100.00%,0.00%,0:00:00,0,0
Delhi,1,2,0.00%,50.00%,0:00:26,0,0
Delta,1,2,0.00%,50.00%,0:01:40,7,0
Department Of Chemistry,1,1,0.00%,100.00%,0:05:59,11,0
Department Report,1,2,0.00%,50.00%,0:04:57,0,0
Development Offic,1,3,100.00%,0.00%,0:02:14,0,0
Dexter Lufkin,1,3,100.00%,0.00%,0:02:26,2,0
Diehl,1,3,0.00%,33.33%,0:01:03,0,0
Digital Archives,1,1,100.00%,0.00%,0:00:00,0,0
Dilley,1,2,0.00%,50.00%,0:03:44,0,0
Disband,1,2,0.00%,50.00%,0:00:35,0,0
Disband Baseball,1,1,0.00%,100.00%,0:00:06,0,0
Disce Doce,1,2,0.00%,50.00%,0:28:10,0,0
Discipl,1,2,0.00%,100.00%,0:00:32,0,0
Dissemination Information Packets,1,1,100.00%,0.00%,0:00:00,0,0
Diversity,1,1,100.00%,0.00%,0:00:00,0,0
Dlowers,1,1,0.00%,100.00%,0:00:04,0,0
Doil Wang,1,1,0.00%,0.00%,0:00:29,3,0
Door Open Always,1,1,0.00%,100.00%,0:12:05,3,0
Dope,1,2,100.00%,0.00%,0:00:09,0,0
Dorm Life,1,6,0.00%,16.67%,0:14:01,18,0
Doso,1,1,0.00%,100.00%,0:00:07,0,0
Douglass Williams,1,1,100.00%,0.00%,0:00:00,0,0
Dr. Cowling,1,6,100.00%,0.00%,0:02:49,1,0
Drawing Showing Williams Hall And The Observato,1,2,0.00%,0.00%,0:00:05,1,0
Drinking,1,2,0.00%,0.00%,0:10:50,28,0
Drunk,1,1,0.00%,100.00%,0:02:55,1,0
Dunham,1,2,0.00%,50.00%,0:00:53,0,0
Duwamish,1,1,0.00%,100.00%,0:00:25,0,0
Eagle,1,1,0.00%,100.00%,0:00:34,0,0
Earhart Fellowship,1,2,100.00%,50.00%,0:00:19,0,0
Earhart Foundation,1,2,0.00%,50.00%,0:01:21,0,0
Earl,1,6,100.00%,0.00%,0:01:02,4,0
Earth Day,1,2,0.00%,0.00%,0:00:12,1,0
Easter,1,1,100.00%,0.00%,0:00:00,0,0
Eat,1,12,0.00%,8.33%,0:05:42,4,0
Eating,1,4,0.00%,25.00%,0:03:28,3,0
Echo Pass,1,2,0.00%,0.00%,0:00:03,1,0
Economics Department,1,2,100.00%,0.00%,0:00:13,0,0
Edith Garrison 1932,1,2,0.00%,100.00%,0:00:58,0,0
Edith Garrison 1932 Scholarship 1992,1,1,0.00%,100.00%,0:00:22,0,0
Edith Garrison Reynolds,1,2,100.00%,50.00%,0:00:26,0,0
Education Of California Between 1916-1940,1,1,100.00%,0.00%,0:00:00,0,0
Educational Television,1,3,0.00%,33.33%,0:14:42,0,0
Edwards Chapel,1,1,0.00%,100.00%,0:00:15,0,0
Edwards Portrait,1,2,0.00%,50.00%,0:03:19,0,0
Edwards Skinner,1,1,0.00%,100.00%,0:00:11,0,0
Einar,1,3,100.00%,33.33%,0:01:44,0,0
Eisenhower,1,2,0.00%,0.00%,0:00:09,1,0
Eisenhuth,1,2,0.00%,50.00%,0:22:31,0,0
Elijah Stearns,1,1,0.00%,100.00%,0:00:11,0,0
Elizabeth Luedke,1,4,100.00%,0.00%,0:01:14,0,0
Elm Court,1,3,0.00%,33.33%,0:00:28,0,0
Elveton,1,2,0.00%,50.00%,0:14:10,5,0
Emily Skinner,1,3,0.00%,33.33%,0:00:48,0,0
Endowment Data,1,4,100.00%,50.00%,0:00:21,0,0
Engineering,1,1,0.00%,100.00%,0:01:41,0,0
English,1,2,100.00%,50.00%,0:00:17,0,0
English Department Faculty,1,1,100.00%,0.00%,0:00:00,0,0
Enrollment,1,2,0.00%,100.00%,0:25:39,0,0
Ents,1,10,0.00%,10.00%,0:43:51,0,0
Epidemic,1,2,100.00%,0.00%,0:00:54,0,0
Equestrian Club,1,1,0.00%,100.00%,0:00:08,0,0
Esther,1,1,0.00%,100.00%,0:09:16,0,0
Esther Stacy,1,2,0.00%,50.00%,0:03:00,0,0
Eugster,1,1,0.00%,100.00%,0:46:44,3,0
Evans Bridge,1,4,0.00%,0.00%,0:01:14,6,0
Events 1916,1,2,100.00%,0.00%,0:00:16,0,0
Exam,1,1,0.00%,0.00%,0:00:47,4,0
Experimental,1,3,0.00%,33.33%,0:00:19,2,0
Extremities,1,1,0.00%,100.00%,0:00:14,0,0
Fabeetz,1,1,0.00%,100.00%,0:00:19,0,0
Fabro,1,1,100.00%,0.00%,0:00:00,0,0
Fac,1,4,0.00%,25.00%,0:10:31,1,0
Facilites Building Photos,1,1,0.00%,100.00%,0:00:27,0,0
Faculty Affairs Martha,1,1,0.00%,100.00%,0:00:08,0,0
Faculty Book,1,1,0.00%,100.00%,0:00:17,0,0
Faculty Building,1,1,0.00%,100.00%,0:00:36,0,0
Faculty Executive Committee,1,3,0.00%,66.67%,0:09:34,0,0
Faculty Group,1,1,0.00%,100.00%,0:01:04,0,0
Fall Of The House Of Usher,1,1,100.00%,0.00%,0:00:00,0,0
Fantasticks,1,4,0.00%,25.00%,0:01:32,2,0
Faribault State School,1,2,0.00%,0.00%,0:01:47,1,0
Farmhouse,1,2,0.00%,50.00%,0:14:08,0,0
Farming,1,1,0.00%,100.00%,0:00:31,0,0
Farrell,1,1,100.00%,0.00%,0:00:00,0,0
Fbs Seminar,1,2,0.00%,50.00%,0:00:33,0,0
Fenchow,1,1,0.00%,0.00%,0:00:24,1,0
Fete,1,7,0.00%,14.29%,0:01:01,0,0
Field And Scream,1,1,100.00%,0.00%,0:00:00,0,0
Field Hockey,1,7,0.00%,0.00%,0:01:54,8,0
Field Hockey Photos,1,1,0.00%,100.00%,0:00:13,0,0
Fifield,1,1,100.00%,0.00%,0:00:00,0,0
Film,1,5,0.00%,20.00%,0:09:58,1,0
Financial Aid,1,1,0.00%,100.00%,0:05:40,1,0
Finholt,1,4,0.00%,25.00%,0:01:45,0,0
Fire,1,4,0.00%,25.00%,0:01:12,0,0
Firenze,1,1,0.00%,100.00%,0:00:07,0,0
Firenze Chain Map,1,1,0.00%,100.00%,0:00:08,0,0
First 100 Years,1,1,0.00%,100.00%,0:00:35,0,0
First African American,1,2,0.00%,50.00%,0:02:12,0,0
First Bank Systems Seminar,1,2,0.00%,50.00%,0:00:18,0,0
First Chicago,1,1,100.00%,0.00%,0:00:00,0,0
First Class,1,1,0.00%,100.00%,0:00:46,0,0
First Sex,1,1,0.00%,100.00%,0:08:39,0,0
First Track,1,2,0.00%,50.00%,0:00:32,1,0
First Week,1,1,0.00%,100.00%,0:01:38,1,0
Flint,1,2,0.00%,50.00%,0:00:12,0,0
