Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Average Search Depth
Great Hall,4,3.50,50.00%,14.29%,00:01:14,2.75
Gridley,4,4.25,25.00%,17.65%,00:00:54,0.50
honors,4,3.00,75.00%,8.33%,00:01:30,0.00
iron bridge,4,1.50,0.00%,83.33%,00:00:34,0.50
lantern,4,2.25,0.00%,55.56%,00:04:57,1.75
learning teaching center,4,3.50,25.00%,14.29%,00:12:37,0.75
legend of fair women,4,2.50,0.00%,10.00%,00:09:24,3.00
military,4,1.75,25.00%,57.14%,00:05:59,1.25
mill,4,1.75,25.00%,28.57%,00:03:46,1.00
monument hill,4,1.50,50.00%,33.33%,00:00:53,0.00
music hall,4,6.25,50.00%,8.00%,00:08:26,7.25
oden,4,6.25,50.00%,12.00%,00:20:26,1.50
postcard,4,2.25,25.00%,33.33%,00:03:45,0.75
programs,4,1.25,0.00%,80.00%,00:02:48,0.75
rugby,4,3.75,25.00%,13.33%,00:01:50,3.50
scrapbook,4,9.25,75.00%,2.70%,00:05:06,0.00
scrapbooks,4,3.00,75.00%,8.33%,00:04:59,1.00
seccombe house,4,5.25,25.00%,9.52%,00:03:24,6.00
shigemura,4,1.75,25.00%,57.14%,00:03:56,0.00
sports information,4,2.00,50.00%,25.00%,00:05:17,0.25
thorstein veblen,4,2.50,75.00%,0.00%,00:00:27,1.75
tropical rainforest,4,1.25,25.00%,60.00%,00:06:49,1.75
unco,4,1.75,75.00%,28.57%,00:01:29,0.00
veblen,4,2.00,25.00%,25.00%,00:01:38,2.50
Vietnam,4,2.75,50.00%,18.18%,00:00:31,0.50
willis hall,4,2.50,25.00%,20.00%,00:05:04,1.00
"""annual report""",3,2.33,0.00%,42.86%,00:03:28,0.33
"""Wayne Carver""",3,5.33,66.67%,6.25%,00:04:20,0.00
12615,3,1.33,33.33%,50.00%,00:00:19,0.00
2010,3,1.33,0.00%,75.00%,00:00:28,1.33
2012-02-20,3,3.00,33.33%,33.33%,00:00:20,0.00
2013-08-06,3,3.67,66.67%,18.18%,00:02:06,0.33
2014-09,3,2.33,33.33%,28.57%,00:04:48,0.00
2014-10,3,1.67,0.00%,60.00%,00:23:33,4.67
2015-02,3,1.00,0.00%,100.00%,00:00:10,0.00
2015-05,3,1.67,0.00%,60.00%,00:04:39,0.00
29624,3,1.33,33.33%,75.00%,00:00:16,0.00
Abc,3,2.33,33.33%,0.00%,00:01:40,2.33
Arboretum,3,6.00,0.00%,5.56%,00:02:21,6.67
blueprint,3,3.00,33.33%,33.33%,00:02:52,5.00
burton,3,2.00,33.33%,33.33%,00:10:15,1.67
Burton,3,3.67,0.00%,9.09%,00:11:27,4.33
business office,3,1.00,0.00%,100.00%,00:08:21,2.67
cabin,3,4.33,33.33%,23.08%,00:10:22,1.67
campus,3,3.00,33.33%,33.33%,00:03:04,1.00
campus map,3,2.00,0.00%,50.00%,00:05:31,1.67
candace moses,3,2.67,33.33%,25.00%,00:01:15,0.00
canoe,3,1.67,0.00%,60.00%,00:07:00,1.00
carleton college today,3,2.33,33.33%,28.57%,00:04:30,0.00
carleton graphic,3,2.33,66.67%,14.29%,00:04:37,0.33
carleton in china,3,4.00,33.33%,16.67%,00:02:43,0.00
Carleton Mission Board,3,3.00,100.00%,11.11%,00:05:21,0.00
carleton today,3,1.67,0.00%,60.00%,00:07:42,1.33
casey jarchow,3,1.33,66.67%,25.00%,00:00:07,0.00
casper,3,2.33,33.33%,14.29%,00:00:55,0.67
chaney,3,3.33,33.33%,20.00%,00:00:56,2.00
Chapel,3,8.67,33.33%,7.69%,00:07:49,3.00
chaplaincy,3,3.33,33.33%,30.00%,00:17:26,0.33
cheerleading,3,4.00,33.33%,8.33%,00:01:33,1.33
cmc,3,1.00,33.33%,66.67%,00:00:57,4.00
Comps,3,3.00,66.67%,22.22%,00:00:54,0.00
cookie house,3,1.00,33.33%,66.67%,00:00:11,0.00
course catalog,3,1.67,66.67%,20.00%,00:06:48,0.00
depot,3,2.00,0.00%,66.67%,00:00:29,0.67
dining hall,3,2.00,0.00%,16.67%,00:05:46,1.33
dolphins,3,1.33,33.33%,50.00%,00:01:20,0.33
Don Rawitsch,3,1.67,0.00%,60.00%,00:07:17,0.33
druid,3,4.67,66.67%,7.14%,00:01:15,0.67
Druids,3,5.33,33.33%,18.75%,00:11:46,4.00
elizabeth luedtke,3,3.67,33.33%,9.09%,00:00:42,1.00
esaki,3,1.00,0.00%,100.00%,00:00:15,0.00
exhibits,3,1.33,0.00%,75.00%,00:01:05,0.00
faculty club,3,3.67,33.33%,18.18%,00:09:36,5.00
food,3,1.67,0.00%,60.00%,00:07:26,0.33
football,3,1.67,33.33%,40.00%,00:04:21,0.00
french,3,1.67,0.00%,80.00%,00:05:12,0.00
Freshmen,3,2.67,0.00%,25.00%,00:01:52,2.00
Frisbee,3,4.00,0.00%,25.00%,00:02:18,2.67
Goodsell,3,3.00,0.00%,22.22%,00:01:43,1.00
halloween,3,1.67,33.33%,20.00%,00:00:40,1.67
headley house,3,1.67,33.33%,20.00%,00:00:46,0.33
horace goodhue,3,3.00,0.00%,33.33%,00:07:48,3.00
hughes collection,3,2.33,33.33%,14.29%,00:02:41,0.33
hughes family,3,3.33,33.33%,30.00%,00:03:55,0.00
hulings,3,1.67,66.67%,20.00%,00:00:14,0.00
james scoville,3,1.67,33.33%,40.00%,00:00:34,0.67
james strong,3,3.67,0.00%,36.36%,00:04:07,2.00
japanese,3,4.33,33.33%,23.08%,00:06:38,1.00
japanese american,3,3.67,0.00%,36.36%,00:18:37,6.33
john lucas,3,2.67,66.67%,12.50%,00:20:40,3.00
language and dining center,3,1.67,66.67%,20.00%,00:00:20,0.00
learning and teaching center,3,6.67,66.67%,15.00%,00:12:34,3.00
library move,3,1.67,33.33%,60.00%,00:05:11,0.67
lloyd johnson,3,1.00,33.33%,66.67%,00:02:10,0.00
ltc,3,1.67,33.33%,40.00%,00:06:55,0.67
maitland,3,3.67,66.67%,18.18%,00:08:24,0.00
meh,3,1.33,33.33%,50.00%,00:06:00,0.67
"Michael D. McNally and Andrea L. Nixon, Co-Chairs, CEDI Leadership Board; Noe J. Hernandez '11 and Kelsey Han '13, CEDI Leadership Board CSA Senator L",3,1.00,33.33%,66.67%,00:02:15,0.00
moses,3,2.00,100.00%,16.67%,00:00:18,0.00
New Student Week,3,3.00,100.00%,11.11%,00:00:56,2.67
news presses,3,1.00,0.00%,100.00%,00:00:22,0.00
nisei,3,1.33,0.00%,75.00%,00:02:55,3.67
nutting house,3,6.00,33.33%,11.11%,00:02:56,0.00
original observatory,3,8.33,0.00%,8.00%,00:04:29,2.67
perry mason,3,1.67,66.67%,20.00%,00:00:25,0.67
polio,3,2.00,66.67%,16.67%,00:10:06,0.00
president report,3,2.67,0.00%,25.00%,00:14:19,3.67
radio,3,3.33,0.00%,40.00%,00:01:55,2.67
recreation center,3,2.33,33.33%,28.57%,00:00:28,0.33
report giving,3,1.67,33.33%,20.00%,00:10:07,2.33
reviews,3,2.00,0.00%,33.33%,00:16:50,1.67
rotblatt,3,2.33,0.00%,28.57%,00:02:22,7.67
saxophone,3,1.00,33.33%,66.67%,00:07:49,0.00
sayles hill,3,2.33,33.33%,28.57%,00:00:26,0.00
sheridan,3,5.00,33.33%,6.67%,00:08:49,3.67
Sivaslian,3,7.33,33.33%,4.55%,00:31:54,8.33
soldier,3,1.00,0.00%,100.00%,00:00:12,0.00
spss,3,2.33,0.00%,57.14%,00:13:25,5.00
station,3,2.67,0.00%,50.00%,00:01:31,0.00
sterrie,3,2.33,0.00%,42.86%,00:12:34,1.00
stork,3,3.00,66.67%,11.11%,00:01:55,0.00
Theater,3,4.00,66.67%,8.33%,00:02:05,2.67
theses,3,1.67,66.67%,0.00%,00:00:20,0.67
treasurer,3,2.67,0.00%,37.50%,00:13:55,2.33
tunnels,3,3.67,33.33%,18.18%,00:02:09,2.33
uniform,3,1.33,33.33%,50.00%,00:00:16,1.33
vestling,3,1.67,33.33%,40.00%,00:03:27,0.00
warnholtz,3,2.33,100.00%,14.29%,00:01:09,0.67
waterford,3,2.00,0.00%,66.67%,00:00:43,0.00
Watson,3,3.67,0.00%,27.27%,00:01:32,4.33
watson hall,3,2.33,0.00%,42.86%,00:00:43,1.33
wayne self,3,2.00,33.33%,33.33%,00:01:29,3.33
Weitz,3,4.00,66.67%,8.33%,00:01:40,5.67
west gym,3,3.67,33.33%,9.09%,00:01:39,2.00
whittemore,3,1.33,33.33%,50.00%,00:01:06,0.00
william carleton,3,2.00,33.33%,16.67%,00:09:39,1.00
willis interior,3,2.00,0.00%,0.00%,00:07:40,12.00
Women's League Cabin,3,6.00,33.33%,11.11%,00:01:20,1.00
"""business office""",2,1.00,0.00%,100.00%,00:06:27,0.00
"""finance committee""",2,1.50,0.00%,100.00%,00:05:48,0.00
"""neil evans""",2,1.00,0.00%,100.00%,00:12:14,3.50
"1: Ceremony 2: Masire Citation, Award, Response",2,1.00,0.00%,100.00%,00:04:01,0.00
1: The Schiller Exchange 2: 1996 Senior Class Video,2,2.00,0.00%,50.00%,00:01:50,2.00
12588,2,1.00,50.00%,50.00%,00:00:20,0.00
12639,2,1.00,0.00%,100.00%,00:00:34,0.00
12648,2,2.00,50.00%,50.00%,00:00:42,0.00
12651,2,1.00,0.00%,100.00%,00:00:30,0.00
12656,2,1.00,0.00%,100.00%,00:00:19,0.00
12664,2,1.00,0.00%,100.00%,00:00:28,0.00
12668,2,1.00,0.00%,100.00%,00:00:27,0.00
157786,2,1.00,50.00%,50.00%,00:00:10,0.00
157962,2,1.00,50.00%,50.00%,00:04:50,0.00
158000,2,1.00,50.00%,50.00%,00:00:12,0.00
158041,2,1.00,50.00%,50.00%,00:01:12,0.00
158189,2,1.00,50.00%,50.00%,00:06:08,0.00
158191,2,1.00,50.00%,50.00%,00:00:13,0.00
158193,2,1.50,50.00%,33.33%,00:08:47,0.00
158263,2,1.00,100.00%,0.00%,00:00:00,0.00
158525,2,1.00,0.00%,100.00%,00:09:48,0.00
159683,2,1.50,50.00%,33.33%,00:09:34,0.00
1975,2,2.50,0.00%,40.00%,00:00:45,2.00
1981,2,1.50,0.00%,33.33%,00:02:59,6.00
1988,2,1.50,0.00%,66.67%,00:19:14,24.50
1989,2,1.00,0.00%,100.00%,00:01:07,0.50
1990,2,2.00,0.00%,50.00%,00:33:06,129.50
1991,2,2.00,50.00%,25.00%,00:00:24,0.50
1991-07-08,2,2.00,0.00%,50.00%,00:01:40,0.00
2000-06-01,2,1.50,0.00%,100.00%,00:00:28,0.00
2002-05-01,2,1.50,50.00%,66.67%,00:00:21,0.00
2005-08-03,2,1.50,0.00%,66.67%,00:00:38,0.00
2007-01-24,2,2.00,50.00%,25.00%,00:00:17,0.00
2009-07-23,2,1.50,50.00%,33.33%,00:00:13,0.00
2011-08-05,2,1.50,0.00%,66.67%,00:00:21,0.00
2012-06-01,2,1.50,0.00%,100.00%,00:02:33,0.00
2013-04,2,3.00,50.00%,16.67%,00:03:17,0.00
2014-04-07,2,1.50,0.00%,66.67%,00:00:26,0.00
2014-09-03,2,2.00,50.00%,25.00%,00:04:41,0.50
2014-09-11,2,5.00,50.00%,20.00%,00:02:21,0.00
2014-12,2,1.00,0.00%,100.00%,00:00:09,0.00
20140718_class66,2,1.50,50.00%,33.33%,00:00:18,0.50
2015-01,2,1.00,0.00%,100.00%,00:01:28,0.00
2015-06,2,2.00,50.00%,50.00%,00:04:56,2.00
2015-07,2,2.50,0.00%,20.00%,00:05:59,3.50
20150105_MorrisonBruceRef,2,2.00,50.00%,0.00%,00:01:07,3.00
a: Alumni Remembrance Chapel Service; b: Sermon from above,2,1.00,0.00%,100.00%,00:01:40,0.00
ABC program,2,1.50,50.00%,33.33%,00:04:24,0.00
accreditation,2,1.50,0.00%,66.67%,00:00:34,0.00
acm india,2,2.00,50.00%,0.00%,00:04:34,8.00
aerial,2,2.00,50.00%,25.00%,00:02:28,1.00
agriculture,2,1.00,50.00%,50.00%,00:01:47,0.00
Al Tinnin,2,2.50,50.00%,20.00%,00:15:12,2.00
alumni magazine,2,3.50,50.00%,28.57%,00:00:41,0.00
alvis tinnin,2,1.00,50.00%,50.00%,00:02:03,0.50
archives,2,1.00,0.00%,100.00%,00:04:52,5.50
art gallery,2,1.00,0.00%,100.00%,00:12:52,0.00
Artificial Intellegence Symposium; James McClelland,2,1.00,0.00%,100.00%,00:00:44,0.00
athletic,2,2.00,50.00%,50.00%,00:24:44,5.00
autumn,2,1.50,0.00%,33.33%,00:08:27,1.00
"b1: John Churchill, Secretary, The Phi Beta Kappa Society b2: Andrea Leskes, Vice President for Education and Quality Initiatives, Association of Amer",2,1.50,0.00%,100.00%,00:15:08,1.50
band,2,5.00,100.00%,0.00%,00:01:26,1.50
barbour,2,1.50,50.00%,33.33%,00:00:33,0.00
bio files,2,1.50,50.00%,33.33%,00:02:45,0.00
blatt,2,1.50,50.00%,66.67%,00:00:41,0.00
board of trustees,2,1.50,0.00%,66.67%,00:10:08,0.50
boarding,2,3.00,0.00%,33.33%,00:13:28,2.00
boening,2,2.50,0.00%,20.00%,00:02:42,1.00
Boliou,2,4.50,0.00%,44.44%,00:11:36,1.50
