"305688","158239","Originals or Copies Note","00:13:15||00:11:03","Least Diff: 00:02:12","Greatest Diff: 00:02:12","All close: ---","< 20 sec diff: No","2","1: DM60 13:15 AABox112: DM60 C11:031&2: reel edited original AAReelBox","13"
"305680","158238","Originals or Copies Note","01:04:00||01:05:00","Least Diff: 00:01:00","Greatest Diff: 00:01:00","All close: ---","< 20 sec diff: No","2","S-VHS orig 1h 5m VHS em 1:04:00 96/7A","8"
"305674","158237","Originals or Copies Note","00:52:30||00:55:00","Least Diff: 00:02:30","Greatest Diff: 00:02:30","All close: ---","< 20 sec diff: No","2","VHS orig 55 m S-VHS Edit for Audio 52:30 96/7A","8"
"305657","158234","Originals or Copies Note","01:02:32||01:02:00","Least Diff: 00:00:32","Greatest Diff: 00:00:32","All close: ---","< 20 sec diff: No","2","S-VHS orig 1h 2m VHS em 1:02:32 96/7A","8"
"305654","158233","Originals or Copies Note","01:03:14||01:01:26","Least Diff: 00:01:48","Greatest Diff: 00:01:48","All close: ---","< 20 sec diff: No","2","1: CD90 1:03:14 2: CD90 1:01:26 AABox11 3: (at music dep)","13"
"305640","158231","Originals or Copies Note","01:02:25||01:00:00","Least Diff: 00:02:25","Greatest Diff: 00:02:25","All close: ---","< 20 sec diff: No","2","S-VHS orig 1h 3n VHS em 1:02:25 96/7B","8"
"305623","158228","Originals or Copies Note","01:04:54||01:00:00","Least Diff: 00:04:54","Greatest Diff: 00:04:54","All close: ---","< 20 sec diff: No","2","S-VHS orig 1: VHS em 1:04:54 2: C-Span Broadcast, 1hr+ 96/7B","8"
"305618","158227","Originals or Copies Note","01:00:20||01:00:00","Least Diff: 00:00:20","Greatest Diff: 00:00:20","All close: ---","< 20 sec diff: No","2","S-VHS orig 1 hr VHS em 1:00:20 96/7B","8"
"305612","158226","Originals or Copies Note","00:47:18||00:46:00","Least Diff: 00:01:18","Greatest Diff: 00:01:18","All close: ---","< 20 sec diff: No","2","S-VHS Orig 46m VHSem 47:18 96/7B","8"
"305564","158216","Originals or Copies Note","01:06:45||01:06:00","Least Diff: 00:00:45","Greatest Diff: 00:00:45","All close: ---","< 20 sec diff: No","2","S-VHS orig 1h 6m VHS em 1:06:45 96/7C","8"
"305531","158210","Originals or Copies Note","00:49:37||01:45:17||00:50:00","Least Diff: 00:00:23","Greatest Diff: 00:55:40","All close: No","< 20 sec diff: No","3","1: S-VHS orig 50 m VHS em 49:37 2:VHS EM 1:45:17 96/7C","8"
"305515","158207","Originals or Copies Note","00:52:49||00:54:00","Least Diff: 00:01:11","Greatest Diff: 00:01:11","All close: ---","< 20 sec diff: No","2","S-VHS orig 54m VHS EM 52:49 96/7C","8"
"305512","158206","Originals or Copies Note","00:59:59||01:06:12||00:14:10","Least Diff: 00:06:13","Greatest Diff: 00:52:02","All close: No","< 20 sec diff: No","3","1: CD90 59:59 2: CD90 1:06:12; [poor audio] 3: CD60 14:10; AABox12","13"
"305468","158199","Originals or Copies Note","00:57:27||00:58:00","Least Diff: 00:00:33","Greatest Diff: 00:00:33","All close: ---","< 20 sec diff: No","2","S-VHS orig 58min VHS EM 57:27 96/7D","8"
"305462","158198","Originals or Copies Note","01:00:35||01:01:00","Least Diff: 00:00:25","Greatest Diff: 00:00:25","All close: ---","< 20 sec diff: No","2","S-VHS orig 1hr 1m VHS em 1:00:35 96/7D","8"
"305458","158197","Originals or Copies Note","00:16:55||00:18:00","Least Diff: 00:01:05","Greatest Diff: 00:01:05","All close: ---","< 20 sec diff: No","2","VHS orig 18min; VHS em 16:55; 96/7D","8"
"305455","158196","Originals or Copies Note","01:05:48||00:25:33","Least Diff: 00:40:15","Greatest Diff: 00:40:15","All close: ---","< 20 sec diff: No","2","1: CD90 1:05:48 2: CD60 25:33 AABox12","13"
"305452","158196","Originals or Copies Note","00:25:47||01:06:00","Least Diff: 00:40:13","Greatest Diff: 00:40:13","All close: ---","< 20 sec diff: No","2","S-VHS orig 1h 6m 1: VHS EM 25:47 96/7D","8"
