"305834","158265","Originals or Copies Note","01:08:00","Least Diff: 00:00:10","Greatest Diff: 00:00:10","All close: ---","< 20 sec diff: Yes","1","S-VHS Orig 1h8m VHS em 1:07:50 95/6b","8"
"305717","158244","Originals or Copies Note","01:09:16","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","CD90 1:09:16 AABox10","13"
"305714","158244","Originals or Copies Note","01:09:00","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","S-VHS orig 1h9m 96/7A","8"
"305711","158243","Originals or Copies Note","01:02:44","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","CD90 1:02:44 AABox10","13"
"305700","158241","Originals or Copies Note","00:48:29","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","CD60 48:29 AABox11","13"
"305683","158238","Originals or Copies Note","01:03:53","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","CD90 1:03:53 AABox11","13"
"305677","158237","Originals or Copies Note","00:52:30","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","EM60 52:30 AABox1","13"
"305669","158236","Originals or Copies Note","","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","0","S-VHS HiFi dub of VHS-C 96/7A","8"
"305666","158235","Originals or Copies Note","01:02:31","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","CD90 1:02:31 AABox11","13"
"305663","158235","Originals or Copies Note","01:03:00","Least Diff: 00:00:06","Greatest Diff: 00:00:06","All close: ---","< 20 sec diff: Yes","1","S-VHS orig 1h 3m VHS em 1:02:54 96/7A","8"
"305660","158234","Originals or Copies Note","01:02:00","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","CD90 1:02:00 AABox11","13"
"305651","158233","Originals or Copies Note","01:04:00","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","1: S-VHS orig 1h4m; VHSem; 2: S-VHSorig; 96/7A","8"
"305646","158232","Originals or Copies Note","","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","0","VHS orig 96/7B","8"
"305643","158231","Originals or Copies Note","01:01:48","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","CD90 1:01:48 AABox11","13"
"305634","158230","Originals or Copies Note","01:44:12","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","1+2 Dub from Betacam: S-VHS,VHS 3: VHS origs (2) 4: VHS em 1:44:12 96/7B","8"
"305631","158229","Originals or Copies Note","01:15:15","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","CD90 1:15:15 AABox11","13"
"305626","158228","Originals or Copies Note","01:04:36","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","CD90 1:04:36 AABox11","13"
"305620","158227","Originals or Copies Note","00:59:53","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","CD90 59:53 AABox11","13"
"305615","158226","Originals or Copies Note","00:46:20","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","CD60 46:20 AABox11","13"
"305608","158224","Originals or Copies Note","01:01:00","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","S-VHS orig 1h 1m 96/7B","8"
"305605","158223","Originals or Copies Note","01:02:48","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","CD90 1:02:48 AABox11","13"
"305602","158223","Originals or Copies Note","01:03:19","Least Diff: 00:00:19","Greatest Diff: 00:00:19","All close: ---","< 20 sec diff: Yes","1","S-VHS orig 1h3m VHS em 1:03:19 96/7B","8"
"305597","158222","Originals or Copies Note","01:01:00","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","VHS orig 1h 1m 96/6B","8"
"305594","158221","Originals or Copies Note","02:00:02","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","CD 90/60 2:00:02 AABox11","13"
"305588","158220","Originals or Copies Note","01:59:44","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","CD 90/60 1:59:44 AABox11","13"
"305581","158219","Originals or Copies Note","01:12:02","Least Diff: 00:00:02","Greatest Diff: 00:00:02","All close: ---","< 20 sec diff: Yes","1","VHS orig 1h12min; VHS em 1:12:02; 96/7B","8"
"305578","158218","Originals or Copies Note","00:59:55","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","CD90 59:55 AABox11","13"
"305575","158218","Originals or Copies Note","01:00:00","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","S-VHS orig 1 hr VHS em 1:00:7 96/7B","8"
"305572","158217","Originals or Copies Note","","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","0","Cassette Orig AABox11","13"
