# ----------------------------------------
"# Carleton College Archives, filtered"
# Search Terms
# 20150620-20160620
# ----------------------------------------

Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Average Search Depth
horse,4,2.75,25.00%,18.18%,00:01:10,1.75
isabella watson,4,5.25,0.00%,9.52%,00:06:34,9.25
jarchow,4,3.75,0.00%,33.33%,00:15:16,1.50
john schott,4,1.50,75.00%,0.00%,00:00:05,0.25
knights,4,2.50,25.00%,40.00%,00:02:53,0.75
little nourse,4,5.50,0.00%,9.09%,00:09:11,3.50
lonnes,4,4.50,50.00%,0.00%,00:24:57,3.50
map,4,2.75,25.00%,27.27%,00:05:01,1.25
miscellany,4,4.50,25.00%,16.67%,00:06:38,2.25
music,4,4.50,25.00%,11.11%,00:02:08,1.25
musser hall,4,4.50,25.00%,16.67%,00:01:41,1.25
Nordic,4,1.50,0.00%,16.67%,00:01:30,1.50
oscar,4,2.75,0.00%,45.45%,00:00:27,0.50
plays,4,4.75,0.00%,21.05%,00:01:28,3.00
postcards,4,2.50,25.00%,30.00%,00:09:53,0.25
race,4,2.25,25.00%,44.44%,00:01:28,0.75
Rotblatt,4,8.25,75.00%,6.06%,00:01:28,1.00
scrapbooks,4,2.25,50.00%,22.22%,00:02:50,0.00
Series 5,4,1.00,100.00%,0.00%,00:00:00,0.00
Skinner,4,2.00,100.00%,0.00%,00:00:10,0.00
tennis,4,2.00,0.00%,50.00%,00:00:47,0.50
the carleton story,4,2.50,75.00%,20.00%,00:00:23,0.25
theatre,4,2.25,25.00%,33.33%,00:00:45,0.50
tug of war,4,4.00,25.00%,0.00%,00:01:07,3.75
tunnels,4,2.25,0.00%,22.22%,00:04:16,1.50
Veblen,4,2.25,100.00%,0.00%,00:00:29,0.00
weitz,4,2.00,25.00%,25.00%,00:02:07,2.50
women soccer,4,11.00,0.00%,6.82%,00:17:53,13.00
women's cross country,4,5.25,75.00%,0.00%,00:03:04,3.00
1971,3,2.33,66.67%,14.29%,00:08:22,11.67
1988-05-12,3,3.00,0.00%,44.44%,00:06:59,0.00
1988-11-04,3,3.00,0.00%,33.33%,00:00:56,0.00
2015-06-22,3,2.00,33.33%,16.67%,00:11:02,2.00
2015-07,3,2.33,33.33%,14.29%,00:04:09,2.33
2016-02-03,3,3.67,0.00%,45.45%,00:07:44,1.33
2016-03-22,3,1.33,100.00%,0.00%,00:00:01,0.00
aerial,3,10.67,33.33%,3.12%,00:13:51,17.00
bald spot,3,2.33,33.33%,14.29%,00:00:29,0.67
bardwell smith,3,5.00,0.00%,20.00%,00:06:07,2.00
bob will,3,1.67,0.00%,80.00%,00:04:59,0.00
bouncing,3,4.00,0.00%,25.00%,00:01:04,3.00
buckminster,3,1.33,100.00%,0.00%,00:00:04,0.00
burton hall,3,2.67,0.00%,37.50%,00:01:46,1.00
calendar,3,3.33,33.33%,30.00%,00:05:29,0.00
CANOE,3,3.67,0.00%,36.36%,00:07:26,0.00
CANOE house,3,2.67,33.33%,37.50%,00:00:21,0.00
choir,3,11.67,0.00%,5.71%,00:10:10,4.33
computing,3,2.33,33.33%,14.29%,00:00:36,0.67
dacie moses,3,2.67,0.00%,37.50%,00:25:57,7.67
davis hall,3,3.33,0.00%,40.00%,00:03:06,1.67
drama,3,3.00,33.33%,22.22%,00:01:48,5.00
druid,3,5.33,66.67%,6.25%,00:03:14,2.33
eleanor hansen,3,6.33,0.00%,10.53%,00:06:56,1.33
equestrian,3,2.67,33.33%,25.00%,00:00:31,0.00
erling larsen,3,1.67,66.67%,0.00%,00:09:41,2.00
ethnicity,3,1.33,33.33%,50.00%,00:00:20,0.00
Evans Hall,3,7.67,100.00%,0.00%,00:06:54,6.33
faculty directory,3,3.00,33.33%,11.11%,00:02:08,0.33
french,3,2.00,33.33%,33.33%,00:06:42,6.00
goodhue hall,3,4.33,66.67%,15.38%,00:02:35,2.00
harry tate,3,2.67,33.33%,25.00%,00:00:33,0.00
india,3,4.00,33.33%,16.67%,00:01:23,1.00
james dow,3,3.33,0.00%,30.00%,00:16:54,2.00
laird,3,4.67,33.33%,14.29%,00:07:12,3.33
Mai Fete,3,5.67,66.67%,5.88%,00:00:58,1.33
Map of campus,3,2.67,33.33%,12.50%,00:05:53,0.67
maps,3,2.67,33.33%,25.00%,00:10:22,3.00
margaret dow,3,3.67,33.33%,18.18%,00:04:06,0.00
men's athletics,3,1.00,33.33%,66.67%,00:01:59,0.00
morgan fellow,3,3.33,33.33%,30.00%,00:02:14,0.00
moving,3,1.67,0.00%,60.00%,00:00:53,0.67
opening convocation,3,2.33,33.33%,28.57%,00:08:18,0.00
physical education,3,4.33,66.67%,15.38%,00:07:17,2.00
picnic,3,8.33,0.00%,16.00%,00:05:37,5.67
protest,3,4.33,0.00%,23.08%,00:08:15,3.67
riggs,3,1.33,33.33%,50.00%,00:12:11,0.33
room draw,3,4.33,0.00%,38.46%,00:03:13,1.33
russ petricka,3,1.67,66.67%,20.00%,00:00:08,0.00
sayles,3,4.00,0.00%,8.33%,00:18:09,2.00
seccombe,3,2.67,0.00%,25.00%,00:02:02,1.33
Simenstad,3,3.33,66.67%,0.00%,00:03:09,1.33
singing knights,3,7.33,66.67%,4.55%,00:01:26,1.67
soccer,3,12.33,33.33%,0.00%,00:16:30,6.33
sports,3,5.67,33.33%,11.76%,00:03:15,1.00
strong,3,2.33,0.00%,57.14%,00:01:05,2.00
tennis court,3,3.33,0.00%,20.00%,00:08:09,1.67
thorstein veblen,3,5.00,66.67%,0.00%,00:04:18,1.67
track and field,3,4.33,0.00%,7.69%,00:04:15,6.33
transcripts,3,5.33,33.33%,12.50%,00:12:57,12.67
transportation,3,2.00,66.67%,16.67%,00:00:47,0.00
twigonometry,3,1.67,33.33%,20.00%,00:00:50,1.67
william carleton,3,5.33,0.00%,25.00%,00:10:24,1.67
willis,3,3.67,0.00%,18.18%,00:03:24,4.00
Willis,3,3.00,0.00%,22.22%,00:06:04,3.00
wind turbine,3,1.67,0.00%,60.00%,00:01:55,0.33
women's athletics,3,2.67,0.00%,37.50%,00:00:41,0.00
women's soccer,3,4.67,66.67%,0.00%,00:04:12,2.67
womens softball,3,1.00,0.00%,100.00%,00:00:14,0.00
"""Navigating the Nineties""",2,1.00,100.00%,0.00%,00:00:00,0.00
1883 football,2,3.00,0.00%,16.67%,00:00:16,0.50
1915,2,1.50,100.00%,0.00%,00:00:52,0.00
1942,2,4.50,0.00%,33.33%,00:14:55,10.00
1957,2,1.50,100.00%,0.00%,00:00:49,1.50
1988-02-01,2,1.00,0.00%,100.00%,00:00:06,0.00
1992,2,1.00,0.00%,100.00%,00:00:18,0.00
1998-01-21,2,2.00,0.00%,50.00%,00:09:43,2.50
1998-02-01,2,1.00,0.00%,50.00%,00:06:13,0.50
1998-05-12,2,3.50,50.00%,57.14%,00:01:53,0.00
2002,2,13.50,50.00%,18.52%,00:18:25,4.00
2011-08-05,2,2.50,100.00%,0.00%,00:05:23,0.00
2012-10-02,2,2.00,0.00%,50.00%,00:02:01,0.00
2012-10-03,2,2.00,50.00%,25.00%,00:03:38,0.00
2012-12-29,2,3.50,0.00%,28.57%,00:08:42,0.00
2013-08-01,2,2.50,0.00%,60.00%,00:01:17,0.00
20130123_T-shirts,2,4.50,0.00%,0.00%,00:02:29,11.00
2014-07,2,4.50,0.00%,44.44%,00:02:54,0.00
2016-02-04,2,4.00,50.00%,37.50%,00:09:35,0.50
alcohol,2,2.00,50.00%,25.00%,00:00:21,0.00
alex robinson,2,2.50,50.00%,0.00%,00:01:05,0.50
alumni,2,2.50,0.00%,40.00%,00:00:29,0.00
anatolia,2,1.50,0.00%,100.00%,00:04:28,0.00
arboret,2,2.00,50.00%,0.00%,00:02:07,1.50
archery,2,2.00,0.00%,25.00%,00:00:43,1.00
archives,2,2.50,50.00%,40.00%,00:06:45,5.50
artifacts,2,3.50,0.00%,42.86%,00:02:42,0.00
band,2,4.00,0.00%,25.00%,00:03:15,0.00
BDAG,2,3.00,0.00%,33.33%,00:07:41,1.50
beanie,2,4.50,100.00%,0.00%,00:05:37,0.50
black hole,2,1.50,50.00%,0.00%,00:00:13,0.50
blind,2,7.00,0.00%,14.29%,00:01:55,0.50
boliou,2,5.00,50.00%,0.00%,00:04:30,1.00
book,2,8.00,0.00%,12.50%,00:04:10,4.00
Breaking Ground,2,1.00,100.00%,0.00%,00:00:00,0.00
brecht,2,2.00,0.00%,50.00%,00:00:13,0.00
campus plan,2,3.50,50.00%,14.29%,00:00:57,0.50
CAMS,2,1.50,50.00%,33.33%,00:00:52,1.00
carleton players,2,6.50,0.00%,15.38%,00:13:20,0.50
caucasian,2,1.50,0.00%,66.67%,00:09:30,1.50
cave,2,7.00,50.00%,0.00%,00:01:46,5.00
center for math and computing,2,3.50,0.00%,42.86%,00:00:41,0.50
chalk,2,2.00,0.00%,50.00%,00:00:38,0.50
chalk circle,2,1.00,0.00%,100.00%,00:12:37,8.00
Chapel organ,2,2.00,100.00%,0.00%,00:00:53,0.00
Charles M. Thompson,2,1.00,0.00%,100.00%,00:01:29,0.00
cheerboys,2,1.00,0.00%,100.00%,00:00:20,0.00
chemistry,2,11.50,50.00%,13.04%,00:09:19,1.50
china,2,2.50,50.00%,20.00%,00:01:11,0.50
CLAP,2,2.00,50.00%,25.00%,00:00:35,0.00
classroom,2,1.00,100.00%,0.00%,00:00:00,0.00
co-op,2,2.50,0.00%,40.00%,00:07:14,0.00
comput,2,4.00,0.00%,25.00%,00:02:12,2.50
computer activities committee,2,1.50,50.00%,33.33%,00:01:50,0.00
computer science,2,1.50,50.00%,0.00%,00:00:07,0.50
convocation,2,1.00,50.00%,50.00%,00:09:58,1.50
cornerstone,2,1.00,0.00%,100.00%,00:01:07,0.00
Cowling,2,1.50,0.00%,66.67%,00:00:43,0.00
cowling gym,2,2.00,0.00%,25.00%,00:06:00,1.50
cowling papers,2,2.50,50.00%,20.00%,00:06:55,0.00
curfew,2,1.00,0.00%,100.00%,00:00:41,0.00
dance,2,4.00,50.00%,12.50%,00:10:08,0.50
david porter,2,3.00,100.00%,0.00%,00:00:24,0.00
dean lodge,2,3.50,0.00%,42.86%,00:00:31,2.00
demographics,2,1.50,50.00%,33.33%,00:00:18,0.00
departmental review,2,2.50,0.00%,40.00%,00:11:00,1.00
dining,2,2.00,0.00%,25.00%,00:04:39,12.00
directory,2,2.50,50.00%,20.00%,00:01:27,0.00
divestment,2,3.50,0.00%,28.57%,00:02:41,2.00
dixon bond,2,2.00,100.00%,0.00%,00:02:16,1.00
Donald Cowling,2,2.50,0.00%,40.00%,00:01:21,0.00
dorm,2,4.00,0.00%,25.00%,00:02:13,3.00
dorms,2,2.00,50.00%,25.00%,00:01:28,0.00
Douglas house,2,3.50,50.00%,14.29%,00:00:59,0.50
Duncan Stewart,2,4.00,50.00%,0.00%,00:04:23,4.50
ebony ii,2,11.50,100.00%,0.00%,00:04:16,5.50
economics,2,4.50,100.00%,0.00%,00:01:04,0.50
elle hansen,2,3.00,0.00%,66.67%,00:00:43,1.00
endowment,2,8.50,0.00%,17.65%,00:06:32,0.00
erling,2,1.50,0.00%,66.67%,00:00:21,0.00
etb,2,6.00,0.00%,16.67%,00:01:11,1.50
ETB,2,6.50,0.00%,15.38%,00:01:55,0.50
evans hall,2,5.00,50.00%,10.00%,00:02:49,3.00
facilities,2,2.00,50.00%,25.00%,00:01:46,0.00
faculty,2,1.00,50.00%,50.00%,00:00:10,0.00
Feminist,2,1.00,100.00%,0.00%,00:00:00,0.00
first day,2,2.00,0.00%,50.00%,00:01:46,1.50
flood,2,3.50,100.00%,0.00%,00:01:51,0.00
flowers,2,4.50,100.00%,22.22%,00:01:22,3.00
food,2,1.50,50.00%,33.33%,00:01:51,0.50
foundations,2,1.00,0.00%,100.00%,00:01:35,0.00
france,2,1.50,0.00%,66.67%,00:01:25,0.50
Frank Wright,2,3.50,50.00%,14.29%,00:00:25,0.50
freshman,2,3.00,0.00%,33.33%,00:02:10,0.00
furioso,2,2.50,0.00%,40.00%,00:03:39,0.00
gay,2,7.00,0.00%,35.71%,00:11:37,1.00
Genevieve Tucker,2,2.00,50.00%,25.00%,00:01:05,0.00
goat,2,4.50,0.00%,11.11%,00:02:09,3.00
gould red,2,1.00,100.00%,0.00%,00:00:00,0.00
graphic,2,1.00,0.00%,50.00%,00:05:07,15.00
gridley hall,2,7.00,50.00%,7.14%,00:07:47,4.50
grow,2,1.50,0.00%,100.00%,00:11:43,2.00
Halloween,2,1.00,100.00%,0.00%,00:00:00,0.00
high school,2,1.00,0.00%,100.00%,00:00:43,1.00
hughes family,2,2.00,0.00%,50.00%,00:05:40,0.00
hulings,2,2.50,100.00%,0.00%,00:00:19,0.00
hundred years,2,2.50,50.00%,40.00%,00:00:21,0.00
international,2,1.50,50.00%,33.33%,00:00:15,0.00
interview video,2,8.00,50.00%,6.25%,00:02:16,0.00
investment committee,2,8.50,0.00%,5.88%,00:05:46,7.50
iseminger,2,1.00,0.00%,50.00%,00:06:56,0.50
keith harrison,2,1.50,0.00%,33.33%,00:00:35,0.50
lagniappe,2,2.00,0.00%,50.00%,00:00:32,0.00
laird field,2,3.50,0.00%,14.29%,00:08:04,4.50
larry gould,2,2.00,0.00%,25.00%,00:01:04,2.50
late night trivia,2,1.00,0.00%,100.00%,00:05:16,0.00
leighton,2,5.50,0.00%,18.18%,00:09:09,0.50
