"305728","158246","Originals or Copies Note","12","55:43||1:10:15||1:43:59||:34:00||1:04:33||1:25:00||58:19||1:02:12||1:02:00||1:10:52||52:50||1:05:20","1: CD60 55:43; 2: CD90 1:10:15; 3: CD60x2 1:43:59; 4: CD60x2 a:34:00; 5: CD90 1:04:33; 6: CD90 1:25:00; AABox10; 71/2ips EM 58:19; AAReelBox; 8: CD90 1:02:12; 9: CD-90 1:02:00; 10: CD90 1:10:52; 11: CD60 52:50; 12: CD90 1:05:20; AABox10","13"
"305725","158246","Originals or Copies Note","3","1:25:52||1:05:50||1h 9 m","6: S-VHS Orig; VHS EM 1:25:52 12: S-VHS Orig; 1h 9 m; VHS em 1:05:50 95/6D","8"
"305717","158244","Originals or Copies Note","1","1:09:16","CD90 1:09:16 AABox10","13"
"305714","158244","Originals or Copies Note","1","1h9m","S-VHS orig 1h9m 96/7A","8"
"305711","158243","Originals or Copies Note","1","1:02:44","CD90 1:02:44 AABox10","13"
"305706","158242","Originals or Copies Note","3","1:07:36||36:09||53:16","1: CD90 1:07:36 2: EM90 36:09 3: EM60 53:16 AABox10","13"
"305703","158242","Originals or Copies Note","3","1:04:41||36:28||1h10m","S-VHS orig 1h10m 1: VHS em 1:04:41 2: S-VHS em 36:28 96/7A","8"
"305700","158241","Originals or Copies Note","1","48:29","CD60 48:29 AABox11","13"
"305697","158241","Originals or Copies Note","2","48:25|| 49m","S-VHS Orig 49m; VHS em 48:25 96/7A","8"
"305694","158240","Originals or Copies Note","4","1:26:07||1:15:34||28:26||1:14:53","1: CD90 1:26:07 2: CD90 1:15:34 3: CD60 28:26 4: CD90 1:14:53 AABox11","13"
"305691","158240","Originals or Copies Note","6","1:33||1:28:29||1:18||1:15:54||1:25||1:15:12","1: S-VHSorig 1:33; VHSem 1:28:29 2: S-VHS orig1:18; VHSem 1:15:54 4: S-VHS orig1:25; VHSem 1:15:12 96/7A","8"
"305688","158239","Originals or Copies Note","2","13:15||11:03","1: DM60 13:15 AABox112: DM60 C11:031&2: reel edited original AAReelBox","13"
"305683","158238","Originals or Copies Note","1","1:03:53","CD90 1:03:53 AABox11","13"
"305680","158238","Originals or Copies Note","2","1:04:00||1h 5m","S-VHS orig 1h 5m VHS em 1:04:00 96/7A","8"
"305677","158237","Originals or Copies Note","1","52:30","EM60 52:30 AABox1","13"
"305674","158237","Originals or Copies Note","2","52:30|| 55 m","VHS orig 55 m S-VHS Edit for Audio 52:30 96/7A","8"
"305669","158236","Originals or Copies Note","0","","S-VHS HiFi dub of VHS-C 96/7A","8"
"305666","158235","Originals or Copies Note","1","1:02:31","CD90 1:02:31 AABox11","13"
"305663","158235","Originals or Copies Note","2","1:02:54||1h 3m","S-VHS orig 1h 3m VHS em 1:02:54 96/7A","8"
"305660","158234","Originals or Copies Note","1","1:02:00","CD90 1:02:00 AABox11","13"
"305657","158234","Originals or Copies Note","2","1:02:32||1h 2m","S-VHS orig 1h 2m VHS em 1:02:32 96/7A","8"
"305654","158233","Originals or Copies Note","2","1:03:14||1:01:26","1: CD90 1:03:14 2: CD90 1:01:26 AABox11 3: (at music dep)","13"
"305651","158233","Originals or Copies Note","1","1h4m","1: S-VHS orig 1h4m; VHSem; 2: S-VHSorig; 96/7A","8"
"305646","158232","Originals or Copies Note","0","","VHS orig 96/7B","8"
"305643","158231","Originals or Copies Note","1","1:01:48","CD90 1:01:48 AABox11","13"
"305640","158231","Originals or Copies Note","2","1:02:25|| 1h","S-VHS orig 1h 3n VHS em 1:02:25 96/7B","8"
"305634","158230","Originals or Copies Note","1","1:44:12","1+2 Dub from Betacam: S-VHS,VHS 3: VHS origs (2) 4: VHS em 1:44:12 96/7B","8"
"305631","158229","Originals or Copies Note","1","1:15:15","CD90 1:15:15 AABox11","13"
"305626","158228","Originals or Copies Note","1","1:04:36","CD90 1:04:36 AABox11","13"
"305623","158228","Originals or Copies Note","2","1:04:54||1hr","S-VHS orig 1: VHS em 1:04:54 2: C-Span Broadcast, 1hr+ 96/7B","8"
"305620","158227","Originals or Copies Note","1","59:53","CD90 59:53 AABox11","13"
"305618","158227","Originals or Copies Note","2","1:00:20|| 1 hr","S-VHS orig 1 hr VHS em 1:00:20 96/7B","8"
"305615","158226","Originals or Copies Note","1","46:20","CD60 46:20 AABox11","13"
"305612","158226","Originals or Copies Note","2","47:18|| 46m","S-VHS Orig 46m VHSem 47:18 96/7B","8"
"305608","158224","Originals or Copies Note","1","1h 1m","S-VHS orig 1h 1m 96/7B","8"
"305605","158223","Originals or Copies Note","1","1:02:48","CD90 1:02:48 AABox11","13"
"305602","158223","Originals or Copies Note","2","1:03:19||1h3m","S-VHS orig 1h3m VHS em 1:03:19 96/7B","8"
"305597","158222","Originals or Copies Note","1","1h 1m","VHS orig 1h 1m 96/6B","8"
"305594","158221","Originals or Copies Note","1","2:00:02","CD 90/60 2:00:02 AABox11","13"
"305588","158220","Originals or Copies Note","1","1:59:44","CD 90/60 1:59:44 AABox11","13"
"305581","158219","Originals or Copies Note","2","1:12:02||1h12min","VHS orig 1h12min; VHS em 1:12:02; 96/7B","8"
"305578","158218","Originals or Copies Note","1","59:55","CD90 59:55 AABox11","13"
"305575","158218","Originals or Copies Note","2","1:00|| 1 hr","S-VHS orig 1 hr VHS em 1:00:7 96/7B","8"
"305572","158217","Originals or Copies Note","0","","Cassette Orig AABox11","13"
"305567","158216","Originals or Copies Note","1","1:06:36","CD90 1:06:36 AABox11","13"
"305564","158216","Originals or Copies Note","2","1:06:45||1h 6m","S-VHS orig 1h 6m VHS em 1:06:45 96/7C","8"
"305560","158215","Originals or Copies Note","1","1h 22m","VHS orig 1h 22m 96.7C","8"
"305557","158214","Originals or Copies Note","1","1:01:10","CD90 1:01:10 AABox11","13"
"305554","158214","Originals or Copies Note","2","1:01:41||1h 2m","1: S-VHS orig 1h 2m; VHS em 1:01:41 2: 1 hr 96/7C","8"
"305551","158213","Originals or Copies Note","1","1:05:00","CD90 1:05:00 AABox12","13"
"305548","158213","Originals or Copies Note","2","1:05:15||1h 5m","S-VHS Orig 1h 5m VHS em 1:05:15 96/7C","8"
"305545","158212","Originals or Copies Note","1","1:00:40","CD 90 1:00:40 AABox1","13"
"305542","158212","Originals or Copies Note","1","1:02:06","S-VHS Orig VHS em 1:02:06 96/7C","8"
"305837","158265","Originals or Copies Note","1","1:07:50","CD90 1:07:50 AABox09","13"
"305539","158211","Originals or Copies Note","1","1:11:03","CD90: 1:11:03 AABox12","13"
"305534","158210","Originals or Copies Note","1","48:55","1: CD 60 48:55 AABox12","13"
"305531","158210","Originals or Copies Note","3","49:37||1:45:17|| 50 m","1: S-VHS orig 50 m VHS em 49:37 2:VHS EM 1:45:17 96/7C","8"
"305528","158209","Originals or Copies Note","1","53:15","CD60 53:15 AABox12","13"
"305526","158209","Originals or Copies Note","0","","S-VHS Orig VHS em times??? 96/7C","8"
"305831","158264","Originals or Copies Note","1","45:59","CD60 45:59 AABox09","13"
"305523","158208","Originals or Copies Note","1","58:26","CD60 58:26 AABox12","13"
"305521","158208","Originals or Copies Note","2","1:00:01|| 1 hr","S-VHS orig 1 hr VHS em 1:00:01 96/7C","8"
"305518","158207","Originals or Copies Note","1","54:03","CD60 54:03 AABox12","13"
"305515","158207","Originals or Copies Note","2","52:49|| 54m","S-VHS orig 54m VHS EM 52:49 96/7C","8"
"305512","158206","Originals or Copies Note","3","59:59||1:06:12||14:10","1: CD90 59:59 2: CD90 1:06:12; [poor audio] 3: CD60 14:10; AABox12","13"
"305509","158206","Originals or Copies Note","1","1:00:51","1: S-VHS orig 2 pts; w/audio fix on VHS EM 1:00:51 96/7Cc","8"
"305504","158205","Originals or Copies Note","0","","S-VHS orig 96/7C","8"
"305500","158204","Originals or Copies Note","1","56:40","CD60 56:40 AABox12","13"
"305497","158204","Originals or Copies Note","2","56:50|| 57min","S-VHS Orig 57min VHS EM 56:50 96/7D","8"
"305494","158203","Originals or Copies Note","1","48:22","CD60 48:22 AABox12","13"
"305488","158202","Originals or Copies Note","1","1:11:19","CD90 1:11:19 AABox12","13"
"305483","158201","Originals or Copies Note","1","56:40","CD60 56:40 AABox12","13"
"305480","158201","Originals or Copies Note","1","57:11","S-VHS Orig 57 Min VHS EM 57:11 96/7D","8"
"305477","158200","Originals or Copies Note","1","1:32:32","CD60x2 1:32:32 AABox12","13"
"305471","158199","Originals or Copies Note","1","57:38","CD60 57:38 AABox12","13"
"305468","158199","Originals or Copies Note","2","57:27|| 58min","S-VHS orig 58min VHS EM 57:27 96/7D","8"
"305464","158198","Originals or Copies Note","1","1:00:25","CD90 1:00:25 AABox12","13"
"305462","158198","Originals or Copies Note","2","1:00:35||1hr 1m","S-VHS orig 1hr 1m VHS em 1:00:35 96/7D","8"
"305458","158197","Originals or Copies Note","2","16:55|| 18min","VHS orig 18min; VHS em 16:55; 96/7D","8"
"305455","158196","Originals or Copies Note","2","1:05:48||25:33","1: CD90 1:05:48 2: CD60 25:33 AABox12","13"
"305452","158196","Originals or Copies Note","2","25:47||1h 6m","S-VHS orig 1h 6m 1: VHS EM 25:47 96/7D","8"
"305449","158195","Originals or Copies Note","1","1:15:55","CD90 1:15:55 AABox12","13"
"305444","158194","Originals or Copies Note","1","1:20:21","1: CD90 1:20:21 AABox12","13"
"305441","158194","Originals or Copies Note","1","1h 53m","S-VHS Orig 1h 53m 96/7D","8"
"305438","158193","Originals or Copies Note","11","58:21||10:05||1:25:15||1:18:39||1:37:55||1:01:12||1:08:27||1:15:41||56:06||1:01:35||1:02:40","1: CD60 58:21; 2: CD60 10:05 (upcut); 3: CD90 1:25:15; 4: CD90 1:18:39; 5: CD60x2 1:37:55; AABox12; 6: CD90 1:01:12; 7: CD90 1:08:27; 8: CD90 1:15:41; 9: CD60 56:06; 10: EM 71/2ips; DM60 1:01:35; 11: CD90 1:02:40; AABox13; 10: EM; AAReelBox","13"
"305435","158193","Originals or Copies Note","2","42:53||1h 11m","5: S-VHS Orig 5a: EM 42:53 11: S-VHS Orig; 1h 11m 96/7D","8"
"305430","158192","Originals or Copies Note","1","25:17","VHS em -- 25:17 96/7D","8"
"305427","158191","Originals or Copies Note","1","51:55","1: CD 60 dolby stereo 51:55 AABox13","13"
"305424","158191","Originals or Copies Note","3","1:26:52||1:11:54||1h40m","S-VHS orig 1h40m 1: VHSem 1:26:52 2: VHSem 1:11:54 97/8A","8"
"305421","158190","Originals or Copies Note","1","47:09","CD60 47:09 AABox13","13"
"305418","158190","Originals or Copies Note","2","43:36|| 48m","S-VHS orig 48m VHS EM 43:36 97/8A","8"
"305415","158189","Originals or Copies Note","0","","(WCAL Recordings at Music Dept)","13"
