"305691","158240","Originals or Copies Note","1: S-VHSorig 1:33; VHSem 1:28:29 2: S-VHS orig1:18; VHSem 1:15:54 4: S-VHS orig1:25; VHSem 1:15:12 96/7A","8"
"305688","158239","Originals or Copies Note","1: DM60 13:15 AABox112: DM60 C11:031&2: reel edited original AAReelBox","13"
"305683","158238","Originals or Copies Note","CD90 1:03:53 AABox11","13"
"305680","158238","Originals or Copies Note","S-VHS orig 1h 5m VHS em 1:04:00 96/7A","8"
"305677","158237","Originals or Copies Note","EM60 52:30 AABox1","13"
"305674","158237","Originals or Copies Note","VHS orig 55 m S-VHS Edit for Audio 52:30 96/7A","8"
"305669","158236","Originals or Copies Note","S-VHS HiFi dub of VHS-C 96/7A","8"
"305666","158235","Originals or Copies Note","CD90 1:02:31 AABox11","13"
"305663","158235","Originals or Copies Note","S-VHS orig 1h 3m VHS em 1:02:54 96/7A","8"
"305660","158234","Originals or Copies Note","CD90 1:02:00 AABox11","13"
"305657","158234","Originals or Copies Note","S-VHS orig 1h 2m VHS em 1:02:32 96/7A","8"
"305654","158233","Originals or Copies Note","1: CD90 1:03:14 2: CD90 1:01:26 AABox11 3: (at music dep)","13"
"305651","158233","Originals or Copies Note","1: S-VHS orig 1h4m; VHSem; 2: S-VHSorig; 96/7A","8"
"305646","158232","Originals or Copies Note","VHS orig 96/7B","8"
"305643","158231","Originals or Copies Note","CD90 1:01:48 AABox11","13"
"305640","158231","Originals or Copies Note","S-VHS orig 1h 3n VHS em 1:02:25 96/7B","8"
"305634","158230","Originals or Copies Note","1+2 Dub from Betacam: S-VHS,VHS 3: VHS origs (2) 4: VHS em 1:44:12 96/7B","8"
"305631","158229","Originals or Copies Note","CD90 1:15:15 AABox11","13"
"305626","158228","Originals or Copies Note","CD90 1:04:36 AABox11","13"
"305623","158228","Originals or Copies Note","S-VHS orig 1: VHS em 1:04:54 2: C-Span Broadcast, 1hr+ 96/7B","8"
"305620","158227","Originals or Copies Note","CD90 59:53 AABox11","13"
"305618","158227","Originals or Copies Note","S-VHS orig 1 hr VHS em 1:00:20 96/7B","8"
"305615","158226","Originals or Copies Note","CD60 46:20 AABox11","13"
"305612","158226","Originals or Copies Note","S-VHS Orig 46m VHSem 47:18 96/7B","8"
"305608","158224","Originals or Copies Note","S-VHS orig 1h 1m 96/7B","8"
"305605","158223","Originals or Copies Note","CD90 1:02:48 AABox11","13"
"305602","158223","Originals or Copies Note","S-VHS orig 1h3m VHS em 1:03:19 96/7B","8"
"305597","158222","Originals or Copies Note","VHS orig 1h 1m 96/6B","8"
"305594","158221","Originals or Copies Note","CD 90/60 2:00:02 AABox11","13"
"305588","158220","Originals or Copies Note","CD 90/60 1:59:44 AABox11","13"
"305581","158219","Originals or Copies Note","VHS orig 1h12min; VHS em 1:12:02; 96/7B","8"
"305578","158218","Originals or Copies Note","CD90 59:55 AABox11","13"
"305575","158218","Originals or Copies Note","S-VHS orig 1 hr VHS em 1:00:7 96/7B","8"
"305572","158217","Originals or Copies Note","Cassette Orig AABox11","13"
"305567","158216","Originals or Copies Note","CD90 1:06:36 AABox11","13"
"305564","158216","Originals or Copies Note","S-VHS orig 1h 6m VHS em 1:06:45 96/7C","8"
"305560","158215","Originals or Copies Note","VHS orig 1h 22m 96.7C","8"
"305557","158214","Originals or Copies Note","CD90 1:01:10 AABox11","13"
"305554","158214","Originals or Copies Note","1: S-VHS orig 1h 2m; VHS em 1:01:41 2: 1 hr 96/7C","8"
"305551","158213","Originals or Copies Note","CD90 1:05:00 AABox12","13"
"305548","158213","Originals or Copies Note","S-VHS Orig 1h 5m VHS em 1:05:15 96/7C","8"
"305545","158212","Originals or Copies Note","CD 90 1:00:40 AABox1","13"
"305542","158212","Originals or Copies Note","S-VHS Orig VHS em 1:02:06 96/7C","8"
"305837","158265","Originals or Copies Note","CD90 1:07:50 AABox09","13"
"305539","158211","Originals or Copies Note","CD90: 1:11:03 AABox12","13"
"305534","158210","Originals or Copies Note","1: CD 60 48:55 AABox12","13"
"305531","158210","Originals or Copies Note","1: S-VHS orig 50 m VHS em 49:37 2:VHS EM 1:45:17 96/7C","8"
"305528","158209","Originals or Copies Note","CD60 53:15 AABox12","13"
"305526","158209","Originals or Copies Note","S-VHS Orig VHS em times??? 96/7C","8"
"305831","158264","Originals or Copies Note","CD60 45:59 AABox09","13"
"305523","158208","Originals or Copies Note","CD60 58:26 AABox12","13"
"305521","158208","Originals or Copies Note","S-VHS orig 1 hr VHS em 1:00:01 96/7C","8"
"305518","158207","Originals or Copies Note","CD60 54:03 AABox12","13"
"305515","158207","Originals or Copies Note","S-VHS orig 54m VHS EM 52:49 96/7C","8"
"305512","158206","Originals or Copies Note","1: CD90 59:59 2: CD90 1:06:12; [poor audio] 3: CD60 14:10; AABox12","13"
"305509","158206","Originals or Copies Note","1: S-VHS orig 2 pts; w/audio fix on VHS EM 1:00:51 96/7Cc","8"
"305504","158205","Originals or Copies Note","S-VHS orig 96/7C","8"
"305500","158204","Originals or Copies Note","CD60 56:40 AABox12","13"
"305497","158204","Originals or Copies Note","S-VHS Orig 57min VHS EM 56:50 96/7D","8"
